WELL_NAME,WELL_ID,EASTING,NORTHING
299-E11-1,C9484,571003.1,134505.27
299-E20-1,C9482,570503.00,135199.81
299-E20-2,C9483,570897.94,134895.76
299-E33-268,C8243,573519.25,137498.67
299-E33-360,C8923,573772.05,137386.86
299-E33-361,C8924,574069.25,137122.32
299-W5-1,C8721,568329.73,137321.21
299-W6-13,C8064,567313.33,137630.55
299-W6-14,C8065,566939.64,137388.93
299-W6-15,C8720,567781.69,137076.41
299-W6-16,C9561,566853.24,137468.59
299-W7-14,C9521,566022.21,137639.37
299-W10-35,C7573,566024.73,136995.48
299-W10-36,C8066,566019.19,137451.97
299-W11-45,C4948,566992.84,136775.64
299-W11-46,C4950,566914.86,136773.27
299-W11-49,C7019,567361.5,135924.72
299-W11-50,C7020,566966.27,136756.64
299-W11-90,C7022,567306.79,136519.66
299-W11-92,C7025,566692.86,136351.78
299-W11-96,C7754,567774.83,136772.24
299-W11-97,C8719,568317.57,135875.91
299-W12-2,C7027,568312.67,136610.25
299-W12-3,C7028,568321.53,136998.09
299-W12-4,C7029,568327.41,136363.65
299-W14-20,C7018,566909.22,136284.47
299-W14-21,C7494,567721.52,135890.01
299-W14-22,C7030,568324.69,136117.29
299-W14-73,C7021,567358.99,136204.58
299-W14-74,C7024,567781.48,136381.29
299-W15-1,A7348,566554.305,135942.939
299-W15-6,A7349,566801.511,135654.395
299-W15-7,A5476,566675.883,135920.204
299-W15-11,A5474,566412.296,136000.716
299-W15-29,B2409,565921.17,135506.003
299-W15-32,B2423,566773.428,135634.998
299-W15-33,B2643,566433.21,135966.08
299-W15-34,B2748,566613.409,135960.441
299-W15-35,B2749,566739.261,135853.068
299-W15-36,B2752,566773.903,135429.589
299-W15-37,B2753,566716.468,135248.316
299-W15-40,B8550,566652.502,136204.971
299-W15-43,C3955,566490.13,136210.03
299-W15-44,C3956,566685.02,136066.47
299-W15-45,C4119,566432.94,135961.16
299-W15-46,C3426,566752.23,135586.67
299-W15-47,C4184,566776.45,135642.37
299-W15-225,C7017,566657.35,136108.93
299-W15-226,C7574,566033.3,136450.23
299-W15-227,C7575,566034.04,135966.56
299-W15-228,C8716,565745.36,135711.48
299-W15-229,C8944,566049.31,135678.81
299-W15-765,C3397,566697.02,136373.06
299-W17-2,C7576,566951.64,135806.21
299-W17-3,C7577,566925.89,135325.02
299-W18-1,A5481,566421.515,135465.21
299-W18-4,A7522,566305.564,135415.786
299-W18-36,B2747,565908.606,135419.398
299-W18-37,B2756,565904.374,135323.433
299-W18-38,B2757,565892.132,135232.922
299-W18-39,B2758,565885.563,135141.112
299-W18-41,C8920,566045.06,135048.54
299-W18-42,C9563,565788.3,135139.19
299-W18-43,C9564,565793.77,135234.41
299-W18-44,C9565,565812.44,135421.17
299-W19-23,A7745,567771.6,134893.051
299-W19-24,A4952,567771.555,134927.743
299-W19-25,A7746,567874.66,134916.359
299-W19-36,B2461,567634.738,135017.052
299-W19-39,B2460,567901.739,134886.74
299-W19-43,C3381,567699.15,135004.02
299-W19-111,C8718,567313.04,135547.02
299-W19-113,C8927,567689.62,135008.2
299-W19-114,C8928,567901.89,135013.21
299-W19-125,C9594,567720.14,135090.85
299-W19-134,D0269,567630.02,135018.24
299-W22-90,C8095,566961.39,134483.24
299-W22-91,C8096,566911.76,134134.53
299-W22-92,C8097,567167.84,134029.77
699-38-64,C8921,570189.63,135318.83
699-40-67,C8070,569420.26,135815.7
699-42-67,C8069,569390.25,136199.83
699-43-67,C7579,569369.88,136560.41
699-43-67B,C8386,569374.78,136560.2
699-44-67,C8068,569338.04,136894.3
699-45-67,C7578,569257.03,137262.97
699-45-67B,C8717,569264.36,137264.99
699-46-68,C8067,569109.83,137600.88
699-47-78,C9878,566045.53,137800.71
699-47-78B,C9879,566046.29,137926.66
699-47-78C,C9880,566046.21,138045.76
699-48-70,C9988,568501.64,138200.91
699-49-69,C8786,568829.74,137966.54
