Year,Elevation
2024,135.0399
2025,135.0145
2026,135.1245
2027,135.3054
2028,135.6124
2029,135.8063
2030,135.7852
2031,135.7249
2032,135.6416
2033,135.5511
2034,135.4559
2035,135.3604
2036,135.2658
2037,135.1767
2038,134.8880
2039,134.0262
2040,133.2781
2041,132.7722
2042,132.4541
2043,132.2506
2044,132.1127
2045,132.0114
2046,131.9308
2047,131.8618
2048,131.7996
2049,131.7412
2050,131.6856
2051,131.6203
2052,131.5555
2053,131.4932
2054,131.4335
2055,131.3758
2056,131.3195
2057,131.2644
2058,131.2103
2059,131.1570
2060,131.1040
2061,131.0513
2062,130.9989
2063,130.9467
2064,130.8946
2065,130.8425
2066,130.7908
2067,130.7317
2068,130.6659
2069,130.5978
2070,130.5316
2071,130.4673
2072,130.4052
2073,130.3449
2074,130.2863
2075,130.2290
2076,130.1731
2077,130.1181
2078,130.0641
2079,130.0110
2080,129.9588
2081,129.9061
2082,129.8547
2083,129.8048
2084,129.7562
2085,129.7088
2086,129.6625
2087,129.6172
2088,129.5728
2089,129.5292
2090,129.4867
2091,129.4448
2092,129.4036
2093,129.3631
2094,129.3233
2095,129.2843
2096,129.2458
2097,129.2080
2098,129.1708
2099,129.1342
2100,129.0983
2135,128.1995
2151,127.9219
2494,126.9292
2517,126.9068
2520,126.9048
2521,126.9042
2525,126.9022
2526,126.9017
2527,126.9008
2529,126.9004
2530,126.8994
2533,126.8986
2535,126.8982
2543,126.8958
2550,126.8940
2551,126.8938
2552,126.8938
2570,126.8885
