wellid,xcoor,ycoor,source,m1r,m1c,m2r,m2c,m3r,m3c,line4[0],line4_h3[0],line4[1],line4_h3[1],line5[0],line5_h3[0]
299-E11-1,571003.1,134505.27,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,42,67,150,125,134.0,145.0,135.44,135.44,104.96,104.96,227.722,227.722
299-E20-1,570503.0,135199.81,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,39,64,137,115,121.0,135.0,143.03,143.03,112.51,112.51,230.777,230.777
299-E20-2,570897.94,134895.76,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,40,66,143,122,127.0,142.0,139.18,139.18,108.68,108.68,225.903,225.903
299-W10-35,566024.73,136995.48,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,30,42,101,25,85.0,45.0,114.59,114.59,74.96,74.96,212.209,212.209
299-W10-36,566019.19,137451.97,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,27,42,91,25,75.0,45.0,114.45,114.45,80.89,80.89,209.766,209.766
299-W15-226,566033.3,136450.23,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,32,42,111,25,95.0,45.0,112.21,112.21,78.68,78.68,211.141,211.141
299-W15-227,566034.04,135966.56,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,35,42,121,25,105.0,45.0,111.24,111.24,77.75,77.75,212.94,212.94
299-W15-228,565745.36,135711.48,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,36,40,126,19,110.0,39.0,124.27,124.27,75.5,75.5,209.89,209.89
299-W15-229,566049.31,135678.81,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,36,42,127,25,111.0,45.0,124.41,124.41,75.65,75.65,212.445,212.445
299-W15-29,565921.17,135506.003,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,37,41,130,23,114.0,43.0,148.11,148.11,123.73,123.73,212.936,212.936
299-W18-36,565908.606,135419.398,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,37,41,132,23,116.0,43.0,141,141,125.78,125.78,211.032,211.032
299-W18-37,565904.374,135323.433,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,38,41,134,23,118.0,43.0,144.02,144.02,125.72,125.72,125.72,125.72
299-W18-38,565892.132,135232.922,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,38,41,136,22,120.0,42.0,143.13,143.13,123.29,123.29,205.589,205.589
299-W18-39,565885.563,135141.112,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,39,41,138,22,122.0,42.0,144.19,144.19,125.9,125.9,202.946,202.946
299-W18-41,566045.06,135048.54,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,39,42,140,25,124.0,45.0,133.19,133.19,72.23,72.23,204.791,204.791
299-W18-42,565788.3,135139.19,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,39,40,138,20,122.0,40.0,128.58,128.58,68.79,68.79,200.993,200.993
299-W18-43,565793.77,135234.41,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,38,40,136,20,120.0,40.0,128.8,128.8,70.82,70.82,202.902,202.902
299-W18-44,565812.44,135421.17,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,37,41,132,21,116.0,41.0,116.88,116.88,70.99,70.99,206.665,206.665
299-W6-13,567313.33,137630.55,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,26,48,88,51,72.0,71.0,113.08,113.08,82.67,82.67,217.033,217.033
299-W6-14,566939.64,137388.93,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,28,46,93,43,77.0,63.0,114.52,114.52,70.38,70.38,212.139,212.139
299-W6-16,566853.24,137468.59,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,27,46,91,42,75.0,62.0,134.01,134.01,68.47,68.47,68.47,68.47
299-W7-14,566022.21,137639.37,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,26,42,88,25,72.0,45.0,135.6,135.6,80.75,80.75,208.927,208.927
699-38-64,570189.63,135318.83,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,38,62,134,108,118.0,128.0,96.121,96.121,71.741,71.741,230.621,230.621
699-40-67,569420.26,135815.7,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,35,59,124,93,108.0,113.0,99.21,99.21,68.88,68.88,228.552,228.552
699-42-67,569390.25,136199.83,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,34,58,117,92,101.0,112.0,103.39,103.39,72.94,72.94,228.106,228.106
699-43-67,569369.88,136560.41,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,32,58,109,92,93.0,112.0,137.37,137.37,119.07,119.07,227.701,227.701
699-43-67B,569374.78,136560.2,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,32,58,109,92,93.0,112.0,104.51,104.51,76.94,76.94,227.701,227.701
699-44-67,569338.04,136894.3,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,30,58,103,91,87.0,111.0,111.51,111.51,81.06,81.06,225.463,225.463
699-45-67,569257.03,137262.97,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,28,58,95,90,79.0,110.0,137.46,137.46,122.22,122.22,220.492,220.492
699-45-67B,569264.36,137264.99,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,28,58,95,90,79.0,110.0,103.96,103.96,85.67,85.67,220.492,220.492
699-46-68,569109.83,137600.88,INPUTS_ft\P2R_91_REFERENCE\Extraction_WELL_Screen_Info.txt,26,57,88,87,72.0,107.0,154.64,154.64,124.17,124.17,216.409,216.409
