WELL_NAME                WELL_ID                X                Y                TOPSCR                BOTSCR                TOPWEL                BOTWEL                MOD_ROW                MOD_COL
299-E11-1                C9484                571003.1                134505.27                135.24                104.76                228.44                100.02776                134                145
299-E20-1                C9482                570503                135199.81                143.86                113.38                232.554                109.7196                121                135
299-E20-2                C9483                570897.94                134895.76                139.93                109.45                228.632                104.5784                127                142
299-E25-240                D0119                575535.336                135961.046                122.7                96.8                207.322                92.506888                105                232
299-E27-157                D0118                575192.23                136407.09                123.6                106.9                204.359                103.494584                96                228
299-E33-268                C8243                573519.25                137498.67                123.53                120.33                197.984                117.6692                75                195
299-E33-360                C8923                573772.05                137386.86                122.206                116.132                199.701                116.55156                77                200
299-E33-361                C8924                574069.25                137122.32                122.33                116.24                200.385                115.684128                82                206
299-W10-35                C7573                566024.73                136995.48                114.49                74.87                212.722                54.5308                85                45
299-W10-36                C8066                566019.19                137451.97                114.44                80.92                211.252                71.9584                75                45
299-W11-106                D0368                568036.76                136481.53                136.34                75.38                224.191                72.178096                95                85
299-W11-107                D0369                567573.99                136583.6                132.74                62.64                220.427                63.97316                93                76
299-W11-117                D0314                566924.997                136724.99                126.9                111.7                209.621                209.621                90                63
299-W11-118                D0315                566893.482                136393.993                126.3                111.1                203.745                203.745                97                62
299-W11-119                D0317                566952.206                136635.705                126.7                111.5                209.087                209.087                92                64
299-W11-45                C4948                566992.84                136775.64                127.15                122.7                213.614                80.1116                89                64
299-W11-46                C4950                566914.86                136773.27                129.83                123.73                210.941                123.8444                89                63
299-W11-49                C7019                567361.5                135924.72                136.76                87.99                216.771                77.4774                106                72
299-W11-50                C7020                566966.27                136756.64                128.98                83.26                212.974                63.622                89                64
299-W11-90                C7022                567306.79                136519.66                135.85                62.7                218.905                58.61068                94                71
299-W11-92                C7025                566692.86                136351.78                128.38                84.18                205.314                65.106                97                58
299-W11-96                C7754                567774.83                136772.24                130.83                79.01                221.507                75.11156                89                80
299-W11-97                C8719                568317.57                135875.91                122.26                68.92                224.365                60.71788                107                91
299-W12-2                C7027                568312.67                136610.25                126.86                73.51                224.355                70.431                92                91
299-W12-3                C7028                568321.53                136998.09                129.68                76.34                225.057                73.8762                85                91
299-W12-4                C7029                568327.41                136363.65                114.06                71.39                224.405                67.18916                97                91
299-W12-5                D0131                568101.7                136735.54                134.384                71.904                222.881                66.8234                90                87
299-W13-5                D0371                568110.39                135702.89                136.46                58.73                222.871                55.13956                110                87
299-W14-20                C7018                566909.22                136284.47                129.72                80.95                205.155                71.3478                99                63
299-W14-21                C7494                567721.52                135890.01                124.83                62.35                220.143                60.123                107                79
299-W14-22                C7030                568324.69                136117.29                126.27                68.35                224.403                63.68196                102                91
299-W14-28                D0135                567471.073                136463.557                136.382                60.182                220.246                59.528008                95                74
299-W14-29                D0136                568068.098                136864.485                139.252                72.192                222.639                68.53212                87                86
299-W14-30                D0137                568093.697                136358.527                133.739                65.769                223.867                61.13428                97                86
299-W14-31                D0138                567778.283                136542.037                136.3                62.24                222.034                61.99876                94                80
299-W14-32                D0139                568127.499                136054.322                141.546                61.386                223.638                61.14912                103                87
299-W14-35                D0316                566938.25                136251.99                126.2                111                203.941                203.941                99                63
299-W14-73                C7021                567358.99                136204.58                128.03                67.07                217.507                62.821                100                72
299-W14-74                C7024                567781.48                136381.29                126.95                70.57                222.212                67.3736                97                80
299-W14-75                D0370                568000.13                136204.5                137.167                64.017                223.15                73.3408                100                85
299-W14-82                D0318                566899.904                136312.883                125.9                110.7                203.827                203.827                98                62
299-W15-1                A7348                566554.305                135942.939                149.09                124.7                206.993                115.553                106                56
299-W15-11                A5474                566412.296                136000.716                152.49                117.74                208.261                116.821                104                53
299-W15-225                C7017                566657.35                136108.93                130.17                81.4                205.544                63.812                102                58
299-W15-226                C7574                566033.3                136450.23                112.21                78.69                213.246                64.1988                95                45
299-W15-227                C7575                566034.04                135966.56                111.25                77.81                214.512                58.50012                105                45
299-W15-228                C8716                565745.36                135711.48                123.68                82.53                208.948                50.381896                110                39
299-W15-229                C8944                566049.31                135678.81                123.78                75.01                214.7                69.6152                111                45
299-W15-29                B2409                565921.17                135506.003                149.06                124.67                213.099                124.0974                114                43
299-W15-32                B2423                566773.428                135634.998                143.47                131.3                203.487                130.4874                112                60
299-W15-33                B2643                566433.21                135966.08                142.53                127.9                207.786                126.0996                105                53
299-W15-34                B2748                566613.409                135960.441                140.91                125.37                206.131                125.9686                105                57
299-W15-35                B2749                566739.261                135853.068                140.11                124.41                204.096                124.848                107                59
299-W15-36                B2752                566773.903                135429.589                139.65                124.41                203.861                123.6986                116                60
299-W15-37                B2753                566716.468                135248.316                140.29                125.05                203.028                124.3896                120                59
299-W15-40                B8550                566652.502                136204.971                138.63                127.92                205.824                125.84448                100                58
299-W15-43                C3955                566490.13                136210.03                137.77                127.1                207.49                101.23672                100                54
299-W15-44                C3956                566685.02                136066.47                138.25                127.58                204.89                100.6484                103                58
299-W15-45                C4119                566432.94                135961.16                135.78                120.46                207.83                118.79792                105                53
299-W15-46                C3426                566752.23                135586.67                139.61                115.24                204.222                44.202                113                60
299-W15-47                C4184                566776.45                135642.37                136.24                117.83                203.705                115.6178                112                60
299-W15-6                A7349                566801.511                135654.395                92.51                77.27                202.666                77.698                111                61
299-W15-7                A5476                566675.883                135920.204                148.78                97.57                204.249                97.569                106                58
299-W15-765                C3397                566697.02                136373.06                137.46                126.78                205.299                123.9174                97                58
299-W17-2                C7576                566951.64                135806.21                135.93                84.12                205.181                61.925                108                64
299-W17-3                C7577                566925.89                135325.02                137.56                75.07                206.874                56.9124                118                63
299-W18-1                A5481                566421.515                135465.21                147.83                77.72                209.058                78.9084                115                53
299-W18-36                B2747                565908.606                135419.398                141.57                126.35                208.013                126.05228                116                43
299-W18-37                B2756                565904.374                135323.433                144.93                126.63                208.773                125.8674                118                43
299-W18-38                B2757                565892.132                135232.922                144.05                124.2                207.746                123.3164                120                42
299-W18-39                B2758                565885.563                135141.112                145.1                126.81                204.381                125.895                122                42
299-W18-4                A7522                566305.564                135415.786                150.06                132.68                210.104                124.76                116                51
299-W18-41                C8920                566045.06                135048.54                132.87                71.91                205.506                57.104976                124                45
299-W18-42                C9563                565788.3                135139.19                130.411                70.622                202.814                48.00608                122                40
299-W18-43                C9564                565793.77                135234.41                128.736                70.754                204.581                68.420744                120                40
299-W18-44                C9565                565812.44                135421.17                128.766                82.869                204.482                50.99996                116                41
299-W19-111                C8718                567313.04                135547.02                125.81                89.23                215.071                78.3682                114                71
299-W19-113                C8927                567689.62                135008.2                127.23                104.37                215.28                102.449136                124                78
299-W19-114                C8928                567901.89                135013.21                127.55                104.69                214.417                95.2402                124                83
299-W19-123                C9567                567511.71                134988.14                130.96                80.66                215.19                75.8964                125                75
299-W19-125                C9594                567720.14                135090.85                126.121                80.708                216.319                83.020816                123                79
299-W19-134                D0269                567630.02                135018.24                128.2                106.9                215.833                81.78196                124                77
299-W19-137                D0426                567300                135037                128.2                106.9                212.858                212.858                124                70
299-W19-23                A7745                567771.6                134893.051                142.96                136.26                213.98                136.256                127                80
299-W19-24                A4952                567771.555                134927.743                142.02                135.93                213.496                135.772                126                80
299-W19-25                A7746                567874.66                134916.359                141.32                135.5                211.878                136.2876                126                82
299-W19-36                B2461                567634.738                135017.052                140.27                126.58                215.408                125.492                124                77
299-W19-39                B2460                567901.739                134886.74                139.68                124.42                211.39                123.76                127                83
299-W19-43                C3381                567699.15                135004.02                135.87                125.22                215.293                124.98076                124                78
299-W22-130                D0424                566909                134193                130                111.71                204.086                204.086                141                63
299-W22-90                C8095                566961.39                134483.24                131.48                119.29                207.834                111.2124                135                64
299-W22-91                C8096                566911.76                134134.53                131.25                116.01                205.117                111.45196                142                63
299-W22-92                C8097                567167.84                134029.77                132.41                118.69                206.217                112.52148                144                68
299-W5-1                C8721                568329.73                137321.21                128.53                82.81                222.431                79.4798                78                91
299-W6-13                C8064                567313.33                137630.55                113.17                82.69                217.616                80.1512                72                71
299-W6-14                C8065                566939.64                137388.93                114                69.81                212.852                67.82816                77                63
299-W6-15                C8720                567781.69                137076.41                126.31                77.54                221.69                74.79164                83                80
299-W6-16                C9561                566853.24                137468.59                128.582                59.597                211.654                65.9596                75                62
299-W7-14                C9521                566022.21                137639.37                135.32                80.46                210.934                77.2792                72                45
699-38-64                C8921                570189.63                135318.83                90.87                71.121                231.676                64.1884                118                128
699-40-67                C8070                569420.26                135815.7                99.01                75.53                229.455                66.35652                108                113
699-40-70A                D0141                567986.853                137401.816                150.82                76.75                220.231                74.93284                76                84
699-42-67                C8069                569390.25                136199.83                103.39                72.94                229.061                69.233024                101                112
699-43-67                C7579                569369.88                136560.41                137.38                119.1                227.992                82.2976                93                112
699-43-67B                C8386                569374.78                136560.2                104.52                76.78                228.134                72.908504                93                112
699-44-67                C8068                569338.04                136894.3                111.51                81.06                224.955                77.91948                87                111
699-45-67                C7578                569257.03                137262.97                137.47                122.23                220.475                92.1542                79                110
699-45-67B                C8717                569264.36                137264.99                103.77                85.49                220.556                83.1674                79                110
699-46-68                C8067                569109.83                137600.88                154.42                123.93                217.906                84.7084                72                107
699-47-78                C9878                566045.53                137800.71                135.826                77.904                209.712                70.38792                68                45
699-47-78B                C9879                566046.29                137926.66                134.84                87.602                208.873                62.35564                66                45
699-47-78C                C9880                566046.21                138045.76                134.728                67.672                208.661                63.69812                64                45
699-48-70                C9988                568501.64                138200.91                131.341                100.851                209.026                86.55736                60                95
699-49-69                C8786                568829.74                137966.54                123.93                97.931                211.889                84.735584                65                101
CTET-EXT-1                CTET-EXT-1                567417                136049.9                136.76                87.99                210                87.99                104                73
CTET-EXT-2                CTET-EXT-2                567818.66                136305.95                127.03                70.62                210                70.62                98                81
CTET-EXT-3                CTET-EXT-3                567625                136260                127.03                70.62                210                70.62                99                77
D0473                D0473                568139.873                136521.266                136.34                75.38                223.446                65.49864                94                87
D0474                D0474                567928                136408                127.03                70.62                210                70.62                96                83
D0493                D0493                568750                138450                122.2854                107.799                210                107.799                55                99
D0494                D0494                569350                137850                125.0734                96.043                210                96.043                67                111
D0495                D0495                569850                137050                126.4808                85.1537                210                85.1537                83                121
S-SX-EXT-2                S-SX-EXT-2                566950                134350                129.74                114.5                210                114.5                137                63



























































































































