WELL_NAME                WELL_ID                X                Y                TOPSCR                BOTSCR                TOPWEL                BOTWEL                2W_ROW                2W_COL                W2_ROW                W2_COL                E2_ROW                E2_COL
299-W8-1                A5016                565749.42                137646.64                142.30                136.11                214.86                132.41                72                39                72                39                0                0
299-W7-9                A5015                565844.44                137646.40                143.99                137.65                212.05                135.18                72                41                72                41                0                0
299-W7-1                A5004                565932.05                137647.13                142.69                136.29                211.63                136.95                72                43                72                43                0                0
299-W7-12                A5007                566040.80                137636.30                142.90                136.59                210.75                136.07                72                45                72                45                0                0
299-W7-11                A5006                566186.20                137636.00                143.26                137.10                208.77                137.29                72                48                72                48                0                0
299-W7-3                A5009                566292.03                137638.64                69.60                63.20                207.19                61.89                72                50                72                50                0                0
299-W7-2                A5008                566302.80                137638.50                144.72                138.62                207.02                135.08                72                51                72                51                0                0
299-W7-5                A5011                566476.03                137635.69                142.34                136.03                206.23                136.43                72                54                72                54                0                0
299-W7-7                A5013                566566.75                137636.08                142.79                136.48                206.82                136.47                72                56                72                58                0                0
299-W7-6                A5012                566658.08                137636.31                143.52                137.42                207.94                133.94                72                58                72                63                0                0
299-W7-8                A5014                566761.39                137636.67                142.71                136.37                210.60                137.27                72                60                72                68                0                0
299-W6-12                A5437                566915.53                137635.16                137.39                132.77                212.09                133.06                72                63                72                76                0                0
299-W6-8                A5003                567028.80                137638.80                141.71                135.40                212.82                136.01                72                65                72                81                0                0
299-W6-11                A5436                567162.52                137634.83                137.92                131.79                215.25                129.81                72                68                72                88                0                0
299-W6-6                A5001                567318.74                137638.72                88.92                85.65                217.47                73.60                72                71                72                96                0                0
299-W6-7                A5002                567311.30                137638.80                141.38                135.07                217.56                133.37                72                71                72                96                0                0
299-W6-5                A5000                567493.33                137638.63                137.28                130.97                218.71                218.71                72                74                72                105                0                0
299-W6-1                A4996                567214.13                137510.14                145.05                110.61                215.16                70.07                74                69                74                91                0                0
299-W7-10                A5005                566858.21                137457.53                143.22                137.00                211.31                136.88                75                62                75                73                0                0
299-W6-10                A5435                567413.34                137453.05                140.81                134.68                218.23                133.40                75                73                75                101                0                0
299-W6-17                C9738                567767.41                137473.37                92.61                86.50                221.32                72.27                75                80                75                118                0                0
299-W6-2                A4997                566938.40                137351.00                143.19                136.79                212.16                136.57                77                63                77                77                0                0
299-W6-9                A5434                567031.61                137363.12                142.03                135.72                213.24                136.06                77                65                77                82                0                0
299-W7-4                A5010                566408.77                137308.24                143.14                134.00                205.83                134.21                78                53                78                53                0                0
299-W6-3                A4998                567118.18                137299.13                88.52                85.40                214.37                79.96                79                67                79                86                0                0
299-W6-4                A4999                567132.25                137290.49                142.15                135.72                214.81                136.11                79                67                79                87                0                0
299-W11-31                A5472                567221.58                137235.28                142.05                135.95                216.52                135.04                80                69                80                91                0                0
