Date,699-48-70,299-W19-114,299-W19-113,299-W19-125,299-W22-92,299-W22-91,299-W22-90,299-W14-22,299-W12-4,299-W12-3,299-W5-1,299-W11-92,299-W14-21,299-W6-15,299-W11-97,299-W11-49,299-W19-111,299-W17-2,299-W17-3,299-W11-96,299-W11-90,299-W11-50,299-W12-2,299-W14-74,299-W14-73,299-W14-20,299-W15-225,Total,Cumulative Total,Cumulative Total (start 2015)
7/31/12,0,0,0,0,0,0,0,0,0.868046997,0.325083457,0,0,0.200135609,0,0,0.856968144,0,0.306763121,0.165141629,0,0,0,0,0,0.24283077,0,0,2.964969729,2.96,
8/31/12,0,0,0,0,0.011192677,0.015713798,0.004342873,0,5.168165746,1.78987872,0,0.549564564,1.161532995,0,0,4.352874096,0,3.609054726,0.874987029,1.584351419,0.982058243,1.91E-06,4.572896423,0,2.202527081,0.725502259,0,27.60464456,30.57,
9/30/12,0,0,0,0,0.043962861,0.059143085,0.021727074,0,1.709047612,0.604470084,0,2.438023346,0.496484589,0,0,1.798013721,0,2.16108206,0.354510742,4.998332338,3.47859491,0.940036272,2.040034789,0,0.992681576,2.13550859,0.54463656,24.81629021,55.39,
10/31/12,0,0,0,0,0.16315546,0.204033503,0.079281566,0,10.00246252,3.28060743,0,14.65591094,1.986435312,0,0,7.620908387,0,9.769790538,1.578188349,9.780975902,15.52840522,4.324130797,13.28070256,0,3.915958682,9.403911252,4.675880158,110.2507386,165.64,
11/30/12,0,0,0,0,0.30304958,0.352270089,0.159837852,0,14.02391906,4.863826359,0,23.64696072,3.047139344,0,0,10.92621497,0,14.93707033,2.764400686,14.16510268,27.67031004,8.773668199,16.62617919,12.56528403,5.053854149,17.11089816,9.221844595,186.21183,351.85,
12/31/12,0,0,0,0,0.249855173,0.435549069,0.244288918,0,20.27481282,8.712961197,0,31.01090476,3.807928395,0,0,13.61423024,0,18.98807305,3.939741882,18.26977215,35.47342412,13.33701684,22.57163598,20.55131929,7.077133096,22.75103986,14.63791501,255.9476018,607.8,
1/31/13,0,0,0,0,0.425119157,0.608113828,0.263611917,0,21.60317798,10.3179079,0,36.02603248,5.68227728,0,0,14.84741179,0,25.67439247,4.866108021,26.61410136,39.75459742,16.88967557,27.51582038,19.5645126,9.13808914,27.07506444,15.6814579,302.5474716,910.34,
2/28/13,0,0,0,0,0.33865599,0.292781365,0.240913589,0,17.56705871,8.956461428,0,28.51182009,4.68197068,0,0,11.37808784,0,21.50396521,3.723304906,22.86820285,26.28589263,12.60178359,22.58833408,17.47701174,7.881832993,21.01680585,12.79708226,240.7119658,1151.06,
3/31/13,0,0,0,0,0.335173374,0.401645596,0.254063924,0,18.9117817,10.22720836,0,33.30952891,5.463107724,0,0,11.85515367,0,25.06733753,4.055757578,23.47869235,24.7982032,13.69649141,24.31478846,18.79738581,9.174962285,23.66923744,12.66258584,260.4731052,1411.53,
4/30/13,0,0,0,0,0.288849286,0.448664969,0.23049992,0,19.92916572,12.10332614,0,38.79264811,6.872021418,0,0,13.8624333,0,28.07610969,4.824692042,29.9450546,26.45970193,5.664592033,26.60290772,25.06988552,12.09968851,27.20696968,13.54008671,292.0172973,1703.55,
5/31/13,0,0,0,0,0.333658688,0.497756923,0.269858557,0,22.31849564,13.01508015,0,33.21356068,7.334081785,0,0,18.63517719,0,29.37061761,6.078343535,34.81597064,27.66660921,13.35870347,30.67652355,25.46354105,16.1130504,25.61669545,16.11410643,320.891831,2024.44,
6/30/13,0,0,0,0,0.353147584,0.50644503,0.289348616,0,14.298193,8.109144624,0,28.98860551,6.420995015,0,0,16.25067859,0,27.31168412,5.293439141,23.59093973,31.19083919,14.89181184,19.43920209,22.82764473,13.41546529,23.70071644,14.24270133,271.1210019,2295.56,
7/31/13,0,0,0,0,0.393883148,0.547778852,0.326616968,0,8.926388765,5.908689163,0,27.27049157,5.981087097,0,0,14.74727816,0,26.22840481,4.754779609,15.28325955,35.70625442,17.3271145,12.67354671,21.02086044,12.25544837,23.47222517,12.65735961,245.4814669,2541.04,
8/31/13,0,0,0,0,0.374870147,0.535809391,0.315078662,0,15.18505777,5.576824809,0,23.47076101,5.992031592,0,0,13.99744205,0,13.92536918,4.401815576,13.16478365,24.84560336,12.90365541,11.58789163,20.65689416,9.02509456,20.80215241,9.581249016,206.3423844,2747.38,
9/30/13,0,0,0,0,0.218439166,0.320359097,0.185819121,0,13.07669416,8.897476814,0,18.72801141,6.545700316,0,0,13.02824385,0,0.0709276,4.828605821,13.50267271,22.04009801,14.36730912,4.447097572,20.04298224,0.085663788,17.78433544,11.48431772,169.6547539,2917.04,
10/31/13,0,0,0,0,0.042027514,0.044709456,0.035762855,0,12.46049268,10.65476378,0,0,2.569465985,0,0,11.59133192,0,13.75187183,2.342447762,22.15135703,8.882520013,5.691558446,16.18943386,18.78617021,8.455844873,0,10.47166525,144.1214235,3061.16,
11/30/13,0,0,0,0,0.34306036,0.376936824,0.299168001,0,14.41142999,8.993553145,0,18.42870409,5.920734063,0,0,11.4414079,0,19.10090401,3.971150291,16.74321922,12.83168473,12.53195128,17.74995552,15.75259517,10.56261859,19.81282277,9.925708284,199.1976043,3260.36,
12/31/13,0,0,0,0,0.37628291,0.384893772,0.326949229,0,23.03414677,9.842043856,0,27.07654954,7.845895041,0,0,13.16696715,0,22.16134265,4.447948444,17.43040333,22.61254907,12.95514136,18.34359335,20.25098612,12.26957403,24.04817497,11.08528438,247.658726,3508.02,
1/31/14,0,0,0,0,0.40061353,0.580108735,0.34381952,0,27.57851538,9.941131348,0,32.32070497,8.635974367,0,0,14.51010184,0,24.23475549,4.447759203,17.0392291,37.37529661,13.58722105,17.42320828,21.21023818,13.52626533,28.04289903,11.7114599,282.9093018,3790.92,
2/28/14,0,0,0,0,0.332786768,0.474659714,0.306022847,0,11.78196057,6.384504531,0,26.66112697,7.297192145,0,0,12.60898447,0,20.30016461,4.472728381,12.91367303,39.37603289,20.94611744,12.9233697,15.73770164,10.89361852,0,9.947738069,213.3583823,4004.28,
3/31/14,0,0,0,0,0.334050257,0.46653889,0.325449505,0,13.77523706,12.12049102,0,26.92906801,7.671763229,0,0,14.53274912,0,22.82395983,4.227084898,17.04658288,40.86307121,27.8626871,16.69406949,22.31045967,11.96473896,0,11.28567298,251.2336741,4255.52,
4/30/14,0,0,0,0,0.306166847,0.42612968,0.304864538,0,13.08995741,14.52989003,0,24.17234004,7.259847303,0,0,13.8893348,0,21.48372567,4.106110859,17.56006555,40.58022318,27.83487218,20.15351334,23.95662922,11.03363219,0,10.29350667,250.9808095,4506.5,
5/31/14,0,0,0,0,0.300880476,0.439304668,0.309886508,0,10.61231575,11.40788196,0,19.2757851,6.506591152,0,0,16.19082485,0,19.69358474,4.094082868,14.16177636,29.02112885,19.98855625,17.35117564,13.7308122,11.26702912,10.91701187,9.392637549,214.6612659,4721.16,
6/30/14,0,0,0,0,0.352454011,0.445121419,0.240930022,0,14.1160591,9.414458153,0,16.57589998,6.305463483,0,0,15.67908307,0,19.00337633,3.590502038,17.04820928,26.96296134,15.77186272,18.02989933,17.2849796,12.49926413,16.88028828,8.197596616,218.3984089,4939.56,
7/31/14,0,0,0,0,0.4202694,0.456379103,0.199404075,0,14.96509958,8.033089177,0,14.17348095,6.495726331,0,0,16.0024772,0,20.08756702,4.577108679,21.00704087,23.77600445,12.92549901,18.89600073,17.39849197,10.55617346,21.96134027,7.78101637,219.7121686,5159.27,
8/31/14,0,0,0,0,0.402373103,0.426451465,0.200337231,0,13.703429,8.1937917,0,13.07510281,6.034259122,0,0,13.79909896,0,18.13361952,3.781484465,8.01148876,23.92069174,11.97560992,17.76203001,17.76198156,10.11028379,22.58996619,6.952773698,196.834773,5356.1,
9/30/14,0,0,0,0,0.395480188,0.408649312,0.207161986,0,12.55833214,5.342089833,0,12.03532688,5.347528524,0,0,10.01051382,0,15.28547838,2.894240883,0.065038595,22.92011711,11.29322242,0.980119727,14.55807828,9.708443893,23.55796534,5.863226219,153.4310135,5509.53,
10/31/14,0,0,0,0,0.43373797,0.439106349,0.236624901,0.042812967,19.28594697,9.957150782,0.019078457,15.40185509,7.00435515,0,0,15.88008504,0,19.22835957,4.432277873,20.22316485,26.64170302,11.70421344,25.70097978,24.88118465,16.82734037,26.08344228,7.288422632,251.7118421,5761.25,
11/30/14,0,0,0,0,0.396266376,0.400946211,0.222830544,2.614543601,15.00704474,8.175126392,1.404651427,15.09731442,6.904621906,0,0,15.82298972,0,18.69234577,4.532707711,19.85976566,25.88651408,11.06472615,21.19004478,24.50270031,19.12480515,24.07828893,6.941611624,241.9198455,6003.17,
12/31/14,0,0,0,0,0.366456526,0.371553857,0.220271103,3.600512787,12.96258335,7.038865618,2.062858207,15.09637596,7.547108326,0,0,17.47700628,0,18.92401275,4.903799122,17.3795662,26.23855705,11.42616147,18.40146459,24.61183006,19.59869374,23.97523508,6.80360021,239.0065123,6242.17,
1/31/15,0,0,0,0,0.37600968,0.378053829,0.246035774,3.414753849,14.51230608,6.969629299,2.061813027,16.49524422,7.828175549,1.224201017,0,19.03663989,0,19.02402856,5.244071682,19.90973305,27.5401427,11.33977571,19.22950678,25.90392696,21.66703059,23.84071728,6.750155686,252.9919512,6495.17,252.99
2/28/15,0,0,0,0,0.349760576,0.343205365,0.268759875,3.339524227,11.47679972,6.163439925,1.941117778,10.65057553,6.970517265,9.038150406,0,15.07812959,0,16.13971336,4.430909104,14.36335293,21.94117989,9.761362705,17.32823021,17.92996456,17.44176763,19.34449604,5.838085109,210.1390418,6705.3,463.13
3/31/15,0,0,0,0,0.399415507,0.383310273,0.292502777,4.708771669,14.8823166,7.615517656,2.493045001,12.76140351,7.77324732,9.682990828,0,17.38912671,0,16.22859565,5.21288781,18.69688826,25.74160008,11.39262212,20.07622257,26.54517511,18.60363645,21.88650648,6.426094888,249.1918773,6954.5,712.32
4/30/15,0,0,0,0,0.392434163,0.370299472,0.272512856,3.492653477,13.46263617,6.867136585,2.242960749,12.0591132,7.423109803,8.134651492,0,15.76063039,0,15.17740999,4.842896493,18.06896701,22.18013114,10.41597455,16.39600709,20.59859738,16.91249525,19.7461243,5.894237543,220.7109791,7175.21,933.03
5/31/15,0,0,0,0,0.388613861,0.384809335,0.281166034,4.328524145,13.33988449,7.499484226,2.557805934,11.68256788,7.356335202,7.3533437,0,15.79994466,0,15.33679496,4.622794568,20.37081727,21.01446002,10.25793354,17.07704766,17.66512033,17.81764753,21.83509312,5.376088164,222.3462766,7397.55,1155.38
6/30/15,0,0,0,0,0.355219125,0.36675698,0.266008156,4.86774458,13.15700652,7.041627624,2.264726683,10.8845266,7.28797073,9.407206538,0,16.50577283,0,14.37824169,4.559168264,23.5113579,18.91365462,9.479353455,17.0008957,20.80197424,17.1831295,22.45071123,4.741590882,225.4246439,7622.98,1380.8
7/31/15,0,0,0,0,0.363047468,0.387116138,0.278952393,5.611172282,14.28717618,8.734929092,2.858567443,0,7.6895607,8.874084936,0,17.74296539,0,15.10143485,4.858154182,25.15764013,18.79809683,9.752775602,18.816052,24.10487567,19.79698185,25.02945785,4.589894873,232.8329359,7855.81,1613.64
8/31/15,0,0,0,0,0.324004438,0.346275749,0.248220119,5.294483948,13.42364852,8.273016624,2.879034423,9.846262577,7.204906388,7.689081982,0,16.92834554,0,13.90708841,4.683884462,21.60741532,17.47104578,8.298213241,17.6263632,22.56736982,18.83335376,21.17121746,3.852254303,222.4754861,8078.29,1836.11
9/30/15,0,0.186696333,0.137444387,0,0.352444017,0.376802724,0.269282832,4.942506891,13.0126776,2.23514943,2.602490849,9.101696291,5.098412298,5.899492863,0,16.61037125,0,12.90391616,4.137072189,18.25834803,20.58097004,8.804501966,14.28155564,20.9745664,17.83408891,22.40230183,3.874260553,204.8770495,8283.16,2040.99
10/31/15,0,0.981450359,0.526008969,0,0.387356578,0.415576813,0.295046535,5.557015087,12.71267758,0,2.910741999,9.679042469,0.001570768,4.386525246,0.000794936,17.69451216,0.008176482,12.05233183,4.600529548,13.19475173,24.15305691,9.202006471,14.56341533,19.03399969,17.63913695,23.42921833,3.884540596,197.3094834,8480.47,2238.3
11/30/15,0,0.990160319,0.51514939,0,0.375719771,0.394252006,0.301443809,5.33103067,11.31204071,0,3.347370631,9.74922475,0,1.359857509,0.006794323,15.15777694,0,10.41114089,5.545107598,10.9356648,22.55542123,9.105640141,14.42567719,14.45082153,17.23655141,22.38084754,3.71490736,179.6026005,8660.08,2417.9
