Year,Elevation
2018,122.428
2019,122.428
2020,122.428
2021,122.428
2022,122.428
2023,122.428
2024,122.428
2025,122.428
2026,122.428
2027,122.428
2028,122.428
2029,122.428
2030,122.428
2031,122.428
2032,122.428
2033,122.428
2034,122.428
2035,122.428
2036,122.428
2037,122.428
2038,122.428
2039,122.428
2040,122.428
2041,122.428
2042,122.428
2043,122.428
2044,122.428
2045,122.428
2046,122.428
2047,122.428
2048,122.428
2049,122.428
2050,122.428
2051,122.428
2052,122.428
2053,122.428
2054,122.428
2055,122.428
2056,122.428
2057,122.428
2058,122.428
2059,122.428
2060,122.428
2061,122.428
2062,122.428
2063,122.428
2064,122.428
2065,122.428
2066,122.428
2067,122.428
2068,122.428
2069,122.428
2070,122.428
2071,122.428
2072,122.428
2073,122.428
2074,122.428
2075,122.428
2076,122.428
2077,122.428
2078,122.428
2079,122.428
2080,122.428
2081,122.428
2082,122.428
2083,122.428
2084,122.428
2085,122.428
2086,122.428
2087,122.428
2088,122.428
2089,122.428
2090,122.428
2091,122.428
2092,122.428
2093,122.428
2094,122.428
2095,122.428
2096,122.428
2097,122.428
2098,122.428
2099,122.428
2100,122.428
2135,122.428
2151,122.428
2494,122.428
2517,122.428
2520,122.428
2521,122.428
2525,122.428
2526,122.428
2527,122.428
2529,122.428
2530,122.428
2533,122.428
2535,122.428
2543,122.428
2550,122.428
2551,122.428
2552,122.428
2570,122.428
