Month_End,WELL_NAME,MASS_KG
07/31/2012,699-48-70,0
08/31/2012,699-48-70,0
09/30/2012,699-48-70,0
10/31/2012,699-48-70,0
11/30/2012,699-48-70,0
12/31/2012,699-48-70,0
01/31/2013,699-48-70,0
02/28/2013,699-48-70,0
03/31/2013,699-48-70,0
04/30/2013,699-48-70,0
05/31/2013,699-48-70,0
06/30/2013,699-48-70,0
07/31/2013,699-48-70,0
08/31/2013,699-48-70,0
09/30/2013,699-48-70,0
10/31/2013,699-48-70,0
11/30/2013,699-48-70,0
12/31/2013,699-48-70,0
01/31/2014,699-48-70,0
02/28/2014,699-48-70,0
03/31/2014,699-48-70,0
04/30/2014,699-48-70,0
05/31/2014,699-48-70,0
06/30/2014,699-48-70,0
07/31/2014,699-48-70,0
08/31/2014,699-48-70,0
09/30/2014,699-48-70,0
10/31/2014,699-48-70,0
11/30/2014,699-48-70,0
12/31/2014,699-48-70,0
01/31/2015,699-48-70,0
02/28/2015,699-48-70,0
03/31/2015,699-48-70,0
04/30/2015,699-48-70,0
05/31/2015,699-48-70,0
06/30/2015,699-48-70,0
07/31/2015,699-48-70,0
08/31/2015,699-48-70,0
09/30/2015,699-48-70,0
10/31/2015,699-48-70,0
11/30/2015,699-48-70,0
12/31/2015,699-48-70,0
01/31/2016,699-48-70,0
02/29/2016,699-48-70,0
03/31/2016,699-48-70,0
04/30/2016,699-48-70,0
05/31/2016,699-48-70,0
06/30/2016,699-48-70,0
07/31/2016,699-48-70,0
08/31/2016,699-48-70,0
09/30/2016,699-48-70,0
10/31/2016,699-48-70,0
11/30/2016,699-48-70,0
12/31/2016,699-48-70,0
01/31/2017,699-48-70,0
02/28/2017,699-48-70,0
03/31/2017,699-48-70,0
04/30/2017,699-48-70,0
05/31/2017,699-48-70,0
06/30/2017,699-48-70,0
07/31/2017,699-48-70,0
08/31/2017,699-48-70,0
09/30/2017,699-48-70,0
10/31/2017,699-48-70,0
11/30/2017,699-48-70,0
12/31/2017,699-48-70,0
01/31/2018,699-48-70,0
02/28/2018,699-48-70,0
03/31/2018,699-48-70,0
04/30/2018,699-48-70,0
05/31/2018,699-48-70,0
06/30/2018,699-48-70,0
07/31/2018,699-48-70,0
08/31/2018,699-48-70,0
09/30/2018,699-48-70,0
10/31/2018,699-48-70,0
11/30/2018,699-48-70,0
12/31/2018,699-48-70,0
01/31/2019,699-48-70,0
02/28/2019,699-48-70,0
03/31/2019,699-48-70,0
04/30/2019,699-48-70,0
05/31/2019,699-48-70,0
06/30/2019,699-48-70,0
07/31/2019,699-48-70,0
08/31/2019,699-48-70,0
09/30/2019,699-48-70,0
10/31/2019,699-48-70,0
11/30/2019,699-48-70,0
12/31/2019,699-48-70,1.084905597
01/31/2020,699-48-70,1.158851246
02/29/2020,699-48-70,1.118119936
03/31/2020,699-48-70,1.199853448
04/30/2020,699-48-70,1.158678112
05/31/2020,699-48-70,1.146924465
06/30/2020,699-48-70,1.133221349
07/31/2020,699-48-70,1.107158501
08/31/2020,699-48-70,0.935149869
09/30/2020,699-48-70,1.044439568
10/31/2020,699-48-70,1.234155074
11/30/2020,699-48-70,0.983342227
12/31/2020,699-48-70,0.960373934
01/31/2021,699-48-70,1.083330469
02/28/2021,699-48-70,1.082047054
03/31/2021,699-48-70,1.117209778
04/30/2021,699-48-70,0.958874744
05/31/2021,699-48-70,0.965392309
06/30/2021,699-48-70,0.883303483
07/31/2021,699-48-70,0.740624909
08/31/2021,699-48-70,0.944251582
09/30/2021,699-48-70,0.914404163
10/31/2021,699-48-70,0.968778668
11/30/2021,699-48-70,0.950632825
12/31/2021,699-48-70,0.938721801
01/31/2022,699-48-70,0.794067831
02/28/2022,699-48-70,0.662877163
03/31/2022,699-48-70,0.587276175
04/30/2022,699-48-70,0.85878834
05/31/2022,699-48-70,0.886679101
06/30/2022,699-48-70,0.584147518
07/31/2022,699-48-70,0.747865953
08/31/2022,699-48-70,0.647872694
09/30/2022,699-48-70,0.597543353
10/31/2022,699-48-70,0.630806261
11/30/2022,699-48-70,0.597407602
12/31/2022,699-48-70,0.610141882
01/31/2023,699-48-70,0.610458412
02/28/2023,699-48-70,0.731139803
03/31/2023,699-48-70,0.877150977
04/30/2023,699-48-70,0.867565246
05/31/2023,699-48-70,0.793409792
06/30/2023,699-48-70,0.758034582
07/31/2023,699-48-70,0.964928214
08/31/2023,699-48-70,1.105457954
09/30/2023,699-48-70,0.918950717
10/31/2023,699-48-70,1.024250907
11/30/2023,699-48-70,0.905949094
12/31/2023,699-48-70,0.85132198
01/31/2024,699-48-70,0.772029622
02/29/2024,699-48-70,0.760485408
03/31/2024,699-48-70,0.837744423
04/30/2024,699-48-70,0.845166033
05/31/2024,699-48-70,0.933627424
06/30/2024,699-48-70,0.948473822
07/31/2024,699-48-70,0.684434873
08/31/2024,699-48-70,0.519337101
09/30/2024,699-48-70,0.618170829
10/31/2024,699-48-70,0.8482434
11/30/2024,699-48-70,0.370466517
12/31/2024,699-48-70,0.578533946
07/31/2012,299-W19-114,0
08/31/2012,299-W19-114,0
09/30/2012,299-W19-114,0
10/31/2012,299-W19-114,0
11/30/2012,299-W19-114,0
12/31/2012,299-W19-114,0
01/31/2013,299-W19-114,0
02/28/2013,299-W19-114,0
03/31/2013,299-W19-114,0
04/30/2013,299-W19-114,0
05/31/2013,299-W19-114,0
06/30/2013,299-W19-114,0
07/31/2013,299-W19-114,0
