TIME,WELL_NAME,MASS_KG
31,299-W15-225,7.381213839
59,299-W15-225,6.544346513
90,299-W15-225,7.339621174
120,299-W15-225,6.976406393
151,299-W15-225,6.947409602
181,299-W15-225,6.697234876
212,299-W15-225,6.952812549
243,299-W15-225,6.004747562
273,299-W15-225,6.213474892
304,299-W15-225,6.39223796
334,299-W15-225,6.072582915
365,299-W15-225,6.168448988
396,299-W15-225,5.358320885
425,299-W15-225,2.826406092
456,299-W15-225,1.997828817
486,299-W15-225,3.416876586
517,299-W15-225,4.2396789
547,299-W15-225,5.243869331
578,299-W15-225,3.016330993
609,299-W15-225,4.108383433
639,299-W15-225,4.048859307
670,299-W15-225,3.785935852
700,299-W15-225,4.520069752
731,299-W15-225,4.905795101
762,299-W15-225,4.78083854
790,299-W15-225,3.902813272
821,299-W15-225,4.128561034
851,299-W15-225,1.941286547
882,299-W15-225,3.654918063
912,299-W15-225,3.410434576
943,299-W15-225,3.579267315
974,299-W15-225,0.437090386
1004,299-W15-225,3.510534015
1035,299-W15-225,3.343284666
1065,299-W15-225,3.161012399
1096,299-W15-225,2.87363462
1127,299-W15-225,2.902002669
1155,299-W15-225,2.957555312
1186,299-W15-225,2.547009243
1216,299-W15-225,1.630142807
1247,299-W15-225,1.459012411
1277,299-W15-225,0.971487993
1308,299-W15-225,0.009266394
1339,299-W15-225,0.003486504
1369,299-W15-225,0
1400,299-W15-225,0.009989313
1430,299-W15-225,0.299161806
1461,299-W15-225,1.861770364
1492,299-W15-225,1.945818125
1520,299-W15-225,1.588905728
1551,299-W15-225,2.406875491
1581,299-W15-225,1.409373014
1612,299-W15-225,1.697939068
1642,299-W15-225,1.852788262
1673,299-W15-225,2.041337772
1704,299-W15-225,1.437945203
1734,299-W15-225,1.753568606
1765,299-W15-225,1.526115093
1795,299-W15-225,0.82400551
1826,299-W15-225,1.760275128
1857,299-W15-225,1.710370042
1886,299-W15-225,1.541499865
1917,299-W15-225,1.137834164
1947,299-W15-225,0
1978,299-W15-225,0
2008,299-W15-225,0
2039,299-W15-225,0.728075067
2070,299-W15-225,1.394964837
2100,299-W15-225,1.309059825
2131,299-W15-225,1.359282979
2161,299-W15-225,1.329494179
2192,299-W15-225,1.309325388
2223,299-W15-225,1.26192807
2251,299-W15-225,1.102629553
2282,299-W15-225,1.17698874
2312,299-W15-225,1.054916693
2343,299-W15-225,1.081340676
2373,299-W15-225,0.995623568
2404,299-W15-225,1.006963054
2435,299-W15-225,0.914464197
2465,299-W15-225,0.812129956
2496,299-W15-225,0.889799442
2526,299-W15-225,0.82950526
2557,299-W15-225,0.825829993
2588,299-W15-225,0.762922841
2616,299-W15-225,0.693180066
2647,299-W15-225,0.570431069
2677,299-W15-225,0.698492807
2708,299-W15-225,0.688642826
2738,299-W15-225,0.484040839
2769,299-W15-225,0.671335426
2800,299-W15-225,0.582105373
2830,299-W15-225,0.564100367
2861,299-W15-225,0.58982986
2891,299-W15-225,0.559848172
2922,299-W15-225,0.559156933
2953,299-W15-225,0.533723869
2981,299-W15-225,0.463694222
3012,299-W15-225,0.476513159
3042,299-W15-225,0.472685611
3073,299-W15-225,0.475022641
3103,299-W15-225,0.445602486
3134,299-W15-225,0.441583211
3165,299-W15-225,0.427224795
3195,299-W15-225,0.354831194
3226,299-W15-225,0.402779892
3256,299-W15-225,0.374795006
3287,299-W15-225,0.18598629
3318,299-W15-225,0.36316418
3347,299-W15-225,0.329369107
3378,299-W15-225,0.341306184
3408,299-W15-225,0.320011461
3439,299-W15-225,0.3204166
3469,299-W15-225,0.300487627
3500,299-W15-225,0.300946509
3531,299-W15-225,0.291578204
3561,299-W15-225,0.273572599
3592,299-W15-225,0.274135716
3622,299-W15-225,0.256887559
3653,299-W15-225,0.256711204
3684,299-W15-225,0.247866264
3712,299-W15-225,0.216382153
3743,299-W15-225,0.231434968
3773,299-W15-225,0.216025068
3804,299-W15-225,0.215247951
3834,299-W15-225,0.200816706
3865,299-W15-225,0.200031367
3896,299-W15-225,0.192692836
3926,299-W15-225,0.17974147
3957,299-W15-225,0
3987,299-W15-225,0
4018,299-W15-225,0
4049,299-W15-225,0
4077,299-W15-225,0
4108,299-W15-225,0
4138,299-W15-225,0
4169,299-W15-225,0
4199,299-W15-225,0
4230,299-W15-225,0
4261,299-W15-225,0
4291,299-W15-225,0
4322,299-W15-225,0
4352,299-W15-225,0
4383,299-W15-225,0
4414,299-W15-225,0
4442,299-W15-225,0
4473,299-W15-225,0
4503,299-W15-225,0
4534,299-W15-225,0
4564,299-W15-225,0
4595,299-W15-225,0
4626,299-W15-225,0
4656,299-W15-225,0
5022,299-W15-225,0
5387,299-W15-225,0
5752,299-W15-225,0
6117,299-W15-225,0
6483,299-W15-225,0
6848,299-W15-225,0
7213,299-W15-225,0
7578,299-W15-225,0
7944,299-W15-225,0
8309,299-W15-225,0
9447.8418,299-W15-225,0
10025.8174,299-W15-225,0
10609.5723,299-W15-225,0
11199.165,299-W15-225,0
11794.6533,299-W15-225,0
12396.0967,299-W15-225,0
13003.5547,299-W15-225,0
13617.0869,299-W15-225,0
14236.7549,299-W15-225,0
14862.6191,299-W15-225,0
15494.7422,299-W15-225,0
16133.1865,299-W15-225,0
16778.0156,299-W15-225,0
17429.293,299-W15-225,0
18087.082,299-W15-225,0
18751.4492,299-W15-225,0
19422.4609,299-W15-225,0
20100.1816,299-W15-225,0
20784.6797,299-W15-225,0
21476.0234,299-W15-225,0
22174.2813,299-W15-225,0
