,obsval,obsnme,weight,time,i,j,wellname,obgnme,standard_deviation,datetime
0,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:213_spec:ctet,0.001,213,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-07-31
1,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:244_spec:ctet,0.001,244,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-08-31
2,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:274_spec:ctet,0.001,274,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-09-30
3,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:305_spec:ctet,0.001,305,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-10-31
4,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:335_spec:ctet,0.001,335,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-11-30
5,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:366_spec:ctet,0.001,366,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2012-12-31
6,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:397_spec:ctet,0.001,397,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-01-31
7,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:425_spec:ctet,0.001,425,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-02-28
8,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:456_spec:ctet,0.001,456,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-03-31
9,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:486_spec:ctet,0.001,486,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-04-30
10,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:517_spec:ctet,0.001,517,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-05-31
11,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:547_spec:ctet,0.001,547,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-06-30
12,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:578_spec:ctet,0.001,578,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-07-31
13,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:609_spec:ctet,0.001,609,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-08-31
14,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:639_spec:ctet,0.001,639,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-09-30
15,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:670_spec:ctet,0.001,670,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-10-31
16,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:700_spec:ctet,0.001,700,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-11-30
17,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:731_spec:ctet,0.001,731,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2013-12-31
18,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:762_spec:ctet,0.001,762,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-01-31
19,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:790_spec:ctet,0.001,790,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-02-28
20,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:821_spec:ctet,0.001,821,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-03-31
21,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:851_spec:ctet,0.001,851,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-04-30
22,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:882_spec:ctet,0.001,882,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-05-31
23,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:912_spec:ctet,0.001,912,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-06-30
24,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:943_spec:ctet,0.001,943,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-07-31
25,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:974_spec:ctet,0.001,974,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-08-31
26,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1004_spec:ctet,0.001,1004,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-09-30
27,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1035_spec:ctet,0.001,1035,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-10-31
28,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1065_spec:ctet,0.001,1065,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-11-30
29,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1096_spec:ctet,0.001,1096,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2014-12-31
30,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1127_spec:ctet,0.001,1127,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-01-31
31,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1155_spec:ctet,0.001,1155,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-02-28
32,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1186_spec:ctet,0.001,1186,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-03-31
33,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1216_spec:ctet,0.001,1216,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-04-30
34,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1247_spec:ctet,0.001,1247,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-05-31
35,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1277_spec:ctet,0.001,1277,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-06-30
36,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1308_spec:ctet,0.001,1308,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-07-31
37,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1339_spec:ctet,0.001,1339,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-08-31
38,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1369_spec:ctet,0.001,1369,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-09-30
39,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1400_spec:ctet,0.001,1400,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-10-31
40,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1430_spec:ctet,0.001,1430,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-11-30
41,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1461_spec:ctet,0.001,1461,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2015-12-31
42,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1492_spec:ctet,0.001,1492,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-01-31
43,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1521_spec:ctet,0.001,1521,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-02-29
44,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1552_spec:ctet,0.001,1552,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-03-31
45,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1582_spec:ctet,0.001,1582,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-04-30
46,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1613_spec:ctet,0.001,1613,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-05-31
47,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1643_spec:ctet,0.001,1643,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-06-30
48,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1674_spec:ctet,0.001,1674,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-07-31
49,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1705_spec:ctet,0.001,1705,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-08-31
50,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1735_spec:ctet,0.001,1735,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-09-30
51,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1766_spec:ctet,0.001,1766,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-10-31
52,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1796_spec:ctet,0.001,1796,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-11-30
53,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1827_spec:ctet,0.001,1827,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2016-12-31
54,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1858_spec:ctet,0.001,1858,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2017-01-31
55,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1886_spec:ctet,0.001,1886,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2017-02-28
56,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1917_spec:ctet,0.001,1917,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2017-03-31
57,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1947_spec:ctet,0.001,1947,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2017-04-30
58,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:1978_spec:ctet,0.001,1978,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2017-05-31
59,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2008_spec:ctet,0.001,2008,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2017-06-30
