name,row,column
299-e11-1,134,145
299-e20-1,121,135
299-e20-2,127,142
299-w10-35,85,45
299-w10-36,75,45
299-w11-106,95,85
299-w11-107,93,76
299-w11-45,89,64
299-w11-46,89,63
299-w11-49,106,72
299-w11-50,89,64
299-w11-90,94,71
299-w11-92,97,58
299-w11-96,89,80
299-w11-97,107,91
299-w12-2,92,91
299-w12-3,85,91
299-w12-4,97,91
299-w12-5,90,87
299-w13-5,110,87
299-w14-20,99,63
299-w14-21,107,79
299-w14-22,102,91
299-w14-28,95,74
299-w14-29,87,86
299-w14-30,97,86
299-w14-31,94,80
299-w14-32,103,87
299-w14-73,100,72
299-w14-74,97,80
299-w14-75,100,85
299-w15-1,106,56
299-w15-11,104,53
299-w15-225,102,58
299-w15-226,95,45
299-w15-227,105,45
299-w15-228,110,39
299-w15-229,111,45
299-w15-29,114,43
299-w15-32,112,60
299-w15-33,105,53
299-w15-34,105,57
299-w15-35,107,59
299-w15-36,116,60
299-w15-37,120,59
299-w15-40,100,58
299-w15-43,100,54
299-w15-44,103,58
299-w15-45,105,53
299-w15-46,113,60
299-w15-47,112,60
299-w15-6,111,61
299-w15-7,106,58
299-w15-765,97,58
299-w17-2,108,64
299-w17-3,118,63
299-w18-1,115,53
299-w18-36,116,43
299-w18-37,118,43
299-w18-38,120,42
299-w18-39,122,42
299-w18-4,116,51
299-w18-41,124,45
299-w18-42,122,40
299-w18-43,120,40
299-w18-44,116,41
299-w19-111,114,71
299-w19-113,124,78
299-w19-114,124,83
299-w19-123,125,75
299-w19-125,123,79
299-w19-134,124,77
299-w19-23,127,80
299-w19-24,126,80
299-w19-25,126,82
299-w19-36,124,77
299-w19-36e,124,77
299-w19-39,127,83
299-w19-43,124,78
299-w22-90,135,64
299-w22-91,142,63
299-w22-92,144,68
299-w5-1,78,91
299-w6-13,72,71
299-w6-14,77,63
299-w6-15,83,80
299-w6-16,75,62
299-w7-14,72,45
699-38-64,118,128
699-40-67,108,113
699-40-70a,76,84
699-42-67,101,112
699-43-67,93,112
699-43-67b,93,112
699-44-67,87,111
699-45-67,79,110
699-45-67b,79,110
699-46-68,72,107
699-47-78,68,45
699-47-78b,66,45
699-47-78c,64,45
699-48-70,60,95
699-49-69,65,101
