,index,row,column,1993_iodine_conc,1998_iodine_conc,2003_iodine_conc,2008_iodine_conc,2013_iodine_conc,2018_iodine_conc
0,44,5,60,0.0,0.0,0.0,0.0,0.0,0.0
1,45,5,61,0.0,0.0,0.0,0.0,0.0,0.0
2,46,5,62,0.0,0.0,0.0,0.0,0.0,0.0
3,47,5,63,0.0,0.0,0.0,0.0,0.0,0.0
4,48,5,64,0.0,0.0,0.0,0.0,0.0,0.0
5,49,5,65,0.0,0.0,0.0,1.0,0.0,0.0
6,50,5,66,0.0,0.0,0.0,1.0,0.0,0.0
7,51,5,67,0.0,0.0,0.0,1.0,0.0,0.0
8,52,5,68,0.0,0.0,0.0,1.0,0.0,0.0
9,53,5,69,0.0,0.0,0.0,0.0,0.0,0.0
10,54,5,70,0.0,0.0,0.0,0.0,0.0,0.0
11,55,5,71,0.0,0.0,0.0,0.0,0.0,0.0
12,56,5,72,0.0,0.0,0.0,0.0,0.0,0.0
13,57,5,73,0.0,0.0,0.0,0.0,0.0,0.0
14,58,5,74,0.0,0.0,0.0,0.0,0.0,0.0
15,73,6,64,0.0,0.0,0.0,0.0,0.0,0.0
16,74,6,65,0.0,0.0,0.0,1.0,0.0,0.0
17,75,6,66,0.0,1.0,0.0,1.0,0.0,0.0
18,76,6,67,0.0,1.0,0.0,1.0,0.0,0.0
19,77,6,68,0.0,1.0,0.0,1.0,0.0,0.0
20,78,6,69,0.0,1.0,0.0,1.0,0.0,0.0
21,79,6,70,0.0,1.0,0.0,1.0,0.0,0.0
22,80,6,71,0.0,0.0,0.0,0.0,1.0,0.0
23,81,6,72,0.0,0.0,0.0,0.0,1.0,0.0
24,82,6,73,0.0,0.0,0.0,0.0,1.0,0.0
25,83,6,74,0.0,0.0,0.0,0.0,0.0,0.0
26,84,6,75,0.0,0.0,0.0,0.0,0.0,0.0
27,85,6,76,0.0,0.0,0.0,0.0,0.0,0.0
28,104,7,39,0.0,0.0,0.0,0.0,0.0,0.0
29,105,7,40,0.0,0.0,0.0,0.0,0.0,0.0
30,106,7,65,0.0,1.0,0.0,1.0,0.0,0.0
31,107,7,66,0.0,1.0,0.0,1.0,0.0,0.0
32,108,7,67,0.0,1.0,0.0,1.0,0.0,0.0
33,109,7,68,0.0,1.0,0.0,1.0,0.0,0.0
34,110,7,69,0.0,1.0,0.0,1.0,0.0,0.0
35,111,7,70,0.0,1.0,0.0,1.0,1.0,0.0
36,112,7,71,0.0,1.0,0.0,1.0,1.0,0.0
37,113,7,72,0.0,1.0,0.0,1.0,1.0,0.0
38,114,7,73,0.0,0.0,0.0,1.0,1.0,0.0
39,115,7,74,0.0,0.0,0.0,0.0,0.0,0.0
40,116,7,75,0.0,0.0,0.0,0.0,0.0,0.0
41,117,7,76,0.0,0.0,0.0,0.0,0.0,0.0
42,118,7,77,0.0,0.0,0.0,0.0,0.0,0.0
43,119,7,78,0.0,0.0,0.0,0.0,0.0,0.0
44,142,8,35,0.0,0.0,0.0,0.0,0.0,0.0
45,143,8,36,0.0,0.0,0.0,0.0,0.0,0.0
46,144,8,37,0.0,0.0,0.0,0.0,0.0,0.0
47,145,8,38,0.0,0.0,0.0,0.0,0.0,0.0
48,146,8,39,0.0,0.0,0.0,0.0,0.0,0.0
49,147,8,40,0.0,0.0,0.0,0.0,0.0,0.0
50,148,8,41,0.0,0.0,0.0,0.0,0.0,0.0
51,149,8,65,0.0,1.0,0.0,0.0,0.0,0.0
52,150,8,66,0.0,1.0,0.0,1.0,0.0,0.0
53,151,8,67,0.0,1.0,0.0,1.0,0.0,0.0
54,152,8,68,0.0,1.0,0.0,1.0,0.0,0.0
55,153,8,69,0.0,1.0,0.0,1.0,1.0,1.0
56,154,8,70,0.0,1.0,0.0,1.0,1.0,1.0
57,155,8,71,0.0,1.0,0.0,1.0,1.0,1.0
58,156,8,72,0.0,1.0,0.0,1.0,1.0,1.0
59,157,8,73,0.0,0.0,0.0,1.0,1.0,0.0
60,158,8,74,0.0,0.0,0.0,1.0,0.0,0.0
61,159,8,75,0.0,0.0,0.0,0.0,0.0,0.0
62,160,8,76,0.0,0.0,0.0,0.0,0.0,0.0
63,161,8,77,0.0,0.0,0.0,0.0,0.0,0.0
64,162,8,78,0.0,0.0,0.0,0.0,0.0,0.0
65,163,8,79,0.0,0.0,0.0,0.0,0.0,0.0
66,164,8,80,0.0,0.0,0.0,0.0,0.0,0.0
67,188,9,35,0.0,0.0,0.0,0.0,0.0,0.0
68,189,9,36,0.0,0.0,0.0,0.0,0.0,0.0
69,190,9,37,0.0,0.0,0.0,0.0,0.0,0.0
70,191,9,38,0.0,0.0,0.0,0.0,0.0,0.0
71,192,9,39,0.0,0.0,0.0,0.0,0.0,0.0
72,193,9,40,0.0,0.0,0.0,0.0,0.0,0.0
73,194,9,41,0.0,0.0,0.0,0.0,0.0,0.0
74,195,9,42,0.0,0.0,0.0,0.0,0.0,0.0
75,196,9,65,0.0,1.0,0.0,0.0,0.0,0.0
76,197,9,66,0.0,1.0,0.0,1.0,0.0,0.0
77,198,9,67,0.0,1.0,0.0,1.0,0.0,0.0
78,199,9,68,0.0,1.0,0.0,1.0,0.0,0.0
79,200,9,69,0.0,1.0,0.0,1.0,1.0,1.0
80,201,9,70,0.0,1.0,1.0,1.0,1.0,1.0
81,202,9,71,0.0,1.0,1.0,1.0,1.0,1.0
82,203,9,72,0.0,1.0,1.0,1.0,1.0,1.0
83,204,9,73,0.0,0.0,0.0,1.0,1.0,0.0
84,205,9,74,0.0,0.0,0.0,1.0,0.0,0.0
85,206,9,75,0.0,0.0,0.0,0.0,0.0,0.0
86,207,9,76,0.0,0.0,0.0,0.0,0.0,0.0
87,208,9,77,0.0,0.0,0.0,0.0,0.0,0.0
88,209,9,78,0.0,0.0,0.0,0.0,0.0,0.0
89,210,9,79,0.0,0.0,0.0,0.0,0.0,0.0
90,211,9,80,0.0,0.0,0.0,0.0,0.0,0.0
91,212,9,81,0.0,0.0,0.0,0.0,0.0,0.0
92,213,9,82,0.0,0.0,0.0,0.0,0.0,0.0
93,214,9,83,0.0,0.0,0.0,0.0,0.0,0.0
94,215,9,84,0.0,0.0,0.0,0.0,0.0,0.0
95,216,9,85,0.0,0.0,0.0,0.0,0.0,0.0
96,242,10,35,0.0,0.0,0.0,0.0,0.0,0.0
97,243,10,36,0.0,0.0,0.0,0.0,0.0,0.0
98,244,10,37,0.0,0.0,0.0,0.0,0.0,0.0
99,245,10,38,0.0,0.0,0.0,0.0,0.0,0.0
100,246,10,39,0.0,0.0,0.0,0.0,0.0,0.0
101,247,10,40,0.0,0.0,0.0,0.0,0.0,0.0
102,248,10,41,0.0,0.0,0.0,0.0,0.0,0.0
103,249,10,42,0.0,0.0,0.0,0.0,0.0,0.0
104,250,10,43,0.0,0.0,0.0,0.0,0.0,0.0
105,251,10,66,0.0,1.0,0.0,0.0,0.0,0.0
106,252,10,67,0.0,1.0,0.0,1.0,0.0,0.0
107,253,10,68,0.0,1.0,0.0,1.0,0.0,0.0
108,254,10,69,0.0,1.0,0.0,1.0,1.0,1.0
109,255,10,70,0.0,1.0,1.0,1.0,1.0,1.0
110,256,10,71,0.0,1.0,1.0,1.0,1.0,1.0
111,257,10,72,0.0,1.0,1.0,1.0,1.0,1.0
112,258,10,73,0.0,0.0,0.0,1.0,1.0,1.0
113,259,10,74,0.0,0.0,0.0,1.0,0.0,1.0
114,260,10,75,0.0,0.0,0.0,0.0,0.0,0.0
115,261,10,76,0.0,0.0,0.0,0.0,0.0,0.0
116,262,10,77,0.0,0.0,0.0,0.0,0.0,0.0
117,263,10,78,0.0,0.0,0.0,0.0,0.0,0.0
118,264,10,79,0.0,0.0,0.0,0.0,0.0,0.0
119,265,10,80,0.0,0.0,0.0,0.0,0.0,0.0
120,266,10,81,0.0,0.0,0.0,0.0,0.0,0.0
121,267,10,82,0.0,0.0,0.0,0.0,0.0,0.0
122,268,10,83,0.0,0.0,0.0,0.0,0.0,0.0
123,269,10,84,0.0,0.0,0.0,0.0,0.0,0.0
124,270,10,85,0.0,0.0,0.0,0.0,0.0,0.0
125,271,10,86,0.0,0.0,0.0,0.0,0.0,0.0
126,272,10,87,0.0,0.0,0.0,0.0,0.0,0.0
127,273,10,88,0.0,0.0,0.0,0.0,0.0,0.0
128,274,10,89,0.0,0.0,0.0,0.0,0.0,0.0
129,275,10,90,0.0,0.0,0.0,0.0,0.0,0.0
130,303,11,35,0.0,0.0,0.0,0.0,0.0,0.0
131,304,11,36,0.0,0.0,0.0,0.0,0.0,0.0
132,305,11,37,0.0,0.0,0.0,0.0,0.0,0.0
133,306,11,38,0.0,0.0,0.0,0.0,0.0,0.0
134,307,11,39,0.0,0.0,0.0,0.0,0.0,0.0
135,308,11,40,0.0,0.0,0.0,0.0,0.0,0.0
136,309,11,41,0.0,0.0,0.0,0.0,0.0,0.0
137,310,11,42,0.0,0.0,0.0,0.0,0.0,0.0
138,311,11,43,0.0,0.0,0.0,0.0,0.0,0.0
139,312,11,44,0.0,0.0,0.0,0.0,0.0,0.0
140,313,11,51,0.0,0.0,0.0,0.0,0.0,0.0
141,314,11,52,0.0,0.0,0.0,0.0,0.0,0.0
142,315,11,53,0.0,0.0,0.0,0.0,0.0,0.0
143,316,11,54,0.0,0.0,0.0,0.0,0.0,0.0
144,317,11,55,0.0,0.0,0.0,0.0,0.0,0.0
145,318,11,56,0.0,0.0,0.0,0.0,0.0,0.0
146,319,11,57,0.0,0.0,0.0,0.0,0.0,0.0
147,320,11,58,0.0,0.0,0.0,0.0,0.0,0.0
148,321,11,59,0.0,0.0,0.0,0.0,0.0,0.0
149,322,11,66,0.0,1.0,0.0,0.0,0.0,0.0
150,323,11,67,0.0,1.0,0.0,0.0,0.0,0.0
151,324,11,68,0.0,1.0,0.0,1.0,0.0,0.0
152,325,11,69,0.0,1.0,0.0,1.0,0.0,1.0
153,326,11,70,0.0,1.0,1.0,1.0,1.0,1.0
154,327,11,71,0.0,1.0,1.0,1.0,1.0,1.0
155,328,11,72,0.0,1.0,1.0,1.0,1.0,1.0
156,329,11,73,0.0,0.0,1.0,1.0,1.0,1.0
157,330,11,74,0.0,0.0,0.0,1.0,0.0,1.0
158,331,11,75,0.0,0.0,0.0,0.0,0.0,0.0
159,332,11,76,0.0,0.0,0.0,0.0,0.0,0.0
160,333,11,77,0.0,0.0,0.0,0.0,0.0,0.0
161,334,11,78,0.0,0.0,0.0,0.0,0.0,0.0
162,335,11,79,0.0,0.0,0.0,0.0,0.0,0.0
163,336,11,80,0.0,0.0,0.0,0.0,0.0,0.0
164,337,11,81,0.0,0.0,0.0,0.0,0.0,0.0
165,338,11,82,0.0,0.0,0.0,0.0,0.0,0.0
166,339,11,83,0.0,0.0,0.0,0.0,0.0,0.0
167,340,11,84,0.0,0.0,0.0,0.0,0.0,0.0
168,341,11,85,0.0,0.0,0.0,0.0,0.0,0.0
169,342,11,86,0.0,0.0,0.0,0.0,0.0,0.0
170,343,11,87,0.0,0.0,0.0,0.0,0.0,0.0
171,344,11,88,0.0,0.0,0.0,0.0,0.0,0.0
172,345,11,89,0.0,0.0,0.0,0.0,0.0,0.0
173,346,11,90,0.0,0.0,0.0,0.0,0.0,0.0
174,347,11,91,0.0,0.0,0.0,0.0,0.0,0.0
175,348,11,92,0.0,0.0,0.0,0.0,0.0,0.0
176,377,12,35,0.0,0.0,0.0,0.0,0.0,0.0
177,378,12,36,0.0,0.0,0.0,0.0,0.0,0.0
178,379,12,37,0.0,0.0,0.0,0.0,0.0,0.0
179,380,12,38,0.0,0.0,0.0,0.0,0.0,0.0
180,381,12,39,0.0,0.0,0.0,0.0,0.0,0.0
