LOCID,row,column,delx,dely,area,node,IBND,TYPE,X,Y,LOC,Layer
C001001_1,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,1,1
C001001_2,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,2,2
C001001_3,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,3,3
C001001_4,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,4,4
C001001_5,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,5,5
C001001_6,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,6,6
C001001_7,1,1,50,50.00,2500.00,-1.00,1,1,563825.00,141175.00,7,7
C001002_1,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,9,1
C001002_2,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,10,2
C001002_3,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,11,3
C001002_4,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,12,4
C001002_5,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,13,5
C001002_6,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,14,6
C001002_7,1,2,50,50.00,2500.00,-1.00,1,1,563875.00,141175.00,15,7
C001003_1,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,17,1
C001003_2,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,18,2
C001003_3,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,19,3
C001003_4,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,20,4
C001003_5,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,21,5
C001003_6,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,22,6
C001003_7,1,3,50,50.00,2500.00,-1.00,1,1,563925.00,141175.00,23,7
C001004_1,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,25,1
C001004_2,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,26,2
C001004_3,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,27,3
C001004_4,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,28,4
C001004_5,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,29,5
C001004_6,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,30,6
C001004_7,1,4,50,50.00,2500.00,-1.00,1,1,563975.00,141175.00,31,7
C001005_1,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,33,1
C001005_2,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,34,2
C001005_3,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,35,3
C001005_4,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,36,4
C001005_5,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,37,5
C001005_6,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,38,6
C001005_7,1,5,50,50.00,2500.00,-1.00,1,1,564025.00,141175.00,39,7
C001006_1,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,41,1
C001006_2,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,42,2
C001006_3,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,43,3
C001006_4,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,44,4
C001006_5,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,45,5
C001006_6,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,46,6
C001006_7,1,6,50,50.00,2500.00,-1.00,1,1,564075.00,141175.00,47,7
C001007_1,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,49,1
C001007_2,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,50,2
C001007_3,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,51,3
C001007_4,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,52,4
C001007_5,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,53,5
C001007_6,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,54,6
C001007_7,1,7,50,50.00,2500.00,-1.00,1,1,564125.00,141175.00,55,7
C001008_1,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,57,1
C001008_2,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,58,2
C001008_3,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,59,3
C001008_4,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,60,4
C001008_5,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,61,5
C001008_6,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,62,6
C001008_7,1,8,50,50.00,2500.00,-1.00,1,1,564175.00,141175.00,63,7
C001009_1,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,65,1
C001009_2,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,66,2
C001009_3,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,67,3
C001009_4,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,68,4
C001009_5,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,69,5
C001009_6,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,70,6
C001009_7,1,9,50,50.00,2500.00,-1.00,1,1,564225.00,141175.00,71,7
C001010_1,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,73,1
C001010_2,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,74,2
C001010_3,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,75,3
C001010_4,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,76,4
C001010_5,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,77,5
C001010_6,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,78,6
C001010_7,1,10,50,50.00,2500.00,-1.00,1,1,564275.00,141175.00,79,7
C001011_1,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,81,1
C001011_2,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,82,2
C001011_3,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,83,3
C001011_4,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,84,4
C001011_5,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,85,5
C001011_6,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,86,6
C001011_7,1,11,50,50.00,2500.00,-1.00,1,1,564325.00,141175.00,87,7
C001012_1,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,89,1
C001012_2,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,90,2
C001012_3,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,91,3
C001012_4,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,92,4
C001012_5,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,93,5
C001012_6,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,94,6
C001012_7,1,12,50,50.00,2500.00,-1.00,1,1,564375.00,141175.00,95,7
C001013_1,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,97,1
C001013_2,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,98,2
C001013_3,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,99,3
C001013_4,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,100,4
C001013_5,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,101,5
C001013_6,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,102,6
C001013_7,1,13,50,50.00,2500.00,-1.00,1,1,564425.00,141175.00,103,7
C001014_1,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,105,1
C001014_2,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,106,2
C001014_3,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,107,3
C001014_4,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,108,4
C001014_5,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,109,5
C001014_6,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,110,6
C001014_7,1,14,50,50.00,2500.00,-1.00,1,1,564475.00,141175.00,111,7
C001015_1,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,113,1
C001015_2,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,114,2
C001015_3,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,115,3
C001015_4,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,116,4
C001015_5,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,117,5
C001015_6,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,118,6
C001015_7,1,15,50,50.00,2500.00,-1.00,1,1,564525.00,141175.00,119,7
C001016_1,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,121,1
C001016_2,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,122,2
C001016_3,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,123,3
C001016_4,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,124,4
C001016_5,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,125,5
C001016_6,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,126,6
C001016_7,1,16,50,50.00,2500.00,-1.00,1,1,564575.00,141175.00,127,7
C001017_1,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,129,1
C001017_2,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,130,2
C001017_3,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,131,3
C001017_4,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,132,4
C001017_5,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,133,5
C001017_6,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,134,6
C001017_7,1,17,50,50.00,2500.00,-1.00,1,1,564625.00,141175.00,135,7
C001018_1,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,137,1
C001018_2,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,138,2
C001018_3,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,139,3
C001018_4,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,140,4
C001018_5,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,141,5
C001018_6,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,142,6
C001018_7,1,18,50,50.00,2500.00,-1.00,1,1,564675.00,141175.00,143,7
C001019_1,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,145,1
C001019_2,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,146,2
C001019_3,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,147,3
C001019_4,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,148,4
C001019_5,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,149,5
C001019_6,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,150,6
C001019_7,1,19,50,50.00,2500.00,-1.00,1,1,564725.00,141175.00,151,7
C001020_1,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,153,1
C001020_2,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,154,2
C001020_3,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,155,3
C001020_4,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,156,4
C001020_5,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,157,5
C001020_6,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,158,6
C001020_7,1,20,50,50.00,2500.00,-1.00,1,1,564775.00,141175.00,159,7
C001021_1,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,161,1
C001021_2,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,162,2
C001021_3,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,163,3
C001021_4,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,164,4
C001021_5,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,165,5
C001021_6,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,166,6
C001021_7,1,21,50,50.00,2500.00,-1.00,1,1,564825.00,141175.00,167,7
C001022_1,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,169,1
C001022_2,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,170,2
C001022_3,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,171,3
C001022_4,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,172,4
C001022_5,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,173,5
C001022_6,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,174,6
C001022_7,1,22,50,50.00,2500.00,-1.00,1,1,564875.00,141175.00,175,7
C001023_1,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,177,1
C001023_2,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,178,2
C001023_3,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,179,3
C001023_4,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,180,4
C001023_5,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,181,5
C001023_6,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,182,6
C001023_7,1,23,50,50.00,2500.00,-1.00,1,1,564925.00,141175.00,183,7
C001024_1,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,185,1
C001024_2,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,186,2
C001024_3,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,187,3
C001024_4,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,188,4
C001024_5,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,189,5
C001024_6,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,190,6
C001024_7,1,24,50,50.00,2500.00,-1.00,1,1,564975.00,141175.00,191,7
C001025_1,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,193,1
C001025_2,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,194,2
C001025_3,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,195,3
C001025_4,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,196,4
C001025_5,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,197,5
C001025_6,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,198,6
C001025_7,1,25,50,50.00,2500.00,-1.00,1,1,565025.00,141175.00,199,7
C001026_1,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,201,1
C001026_2,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,202,2
C001026_3,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,203,3
C001026_4,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,204,4
C001026_5,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,205,5
C001026_6,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,206,6
C001026_7,1,26,50,50.00,2500.00,-1.00,1,1,565075.00,141175.00,207,7
C001027_1,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,209,1
C001027_2,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,210,2
C001027_3,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,211,3
C001027_4,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,212,4
C001027_5,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,213,5
C001027_6,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,214,6
C001027_7,1,27,50,50.00,2500.00,-1.00,1,1,565125.00,141175.00,215,7
C001028_1,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,217,1
C001028_2,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,218,2
C001028_3,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,219,3
C001028_4,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,220,4
C001028_5,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,221,5
C001028_6,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,222,6
C001028_7,1,28,50,50.00,2500.00,-1.00,1,1,565175.00,141175.00,223,7
C001029_1,1,29,50,50.00,2500.00,-1.00,1,1,565225.00,141175.00,225,1
C001029_2,1,29,50,50.00,2500.00,-1.00,1,1,565225.00,141175.00,226,2
C001029_3,1,29,50,50.00,2500.00,-1.00,1,1,565225.00,141175.00,227,3
C001029_4,1,29,50,50.00,2500.00,-1.00,1,1,565225.00,141175.00,228,4
C001029_5,1,29,50,50.00,2500.00,-1.00,1,1,565225.00,141175.00,229,5
