WELL_NAME         WELL_ID         X         Y         TOP         BOT         ROW         COLUMN         delx         dely         area
699-61-62         A5285         570914.859         141921.659         126.448         122.181         5         66         200.0000         200.0000         40000.0000
699-60-57         A5280         572623.495         141870.325         97.799         88.046         5         75         200.0000         200.0000         40000.0000
699-60-60         A5282         571588.581         141763.907         126.595         118.365         6         69         200.0000         200.0000         40000.0000
699-59-80B         A5278         565636.540         141574.680         130.820         121.980         7         40         200.0000         200.0000         40000.0000
699-59-58         A5277         572273.618         141414.963         126.895         120.799         7         73         200.0000         200.0000         40000.0000
699-57-83A         A5270         564581.685         140824.848         129.997         116.281         10         34         200.0000         200.0000         40000.0000
699-57-59         A5269         571830.216         140923.719         126.065         119.872         10         71         200.0000         200.0000         40000.0000
699-55-76         A5261         566722.288         140225.536         134.447         118.903         13         45         200.0000         200.0000         40000.0000
699-55-70         A5260         568528.821         140318.684         131.582         116.647         13         54         200.0000         200.0000         40000.0000
699-55-60A         A8868         571563.500         140268.280         117.570         105.378         13         69         200.0000         200.0000         40000.0000
699-55-50C         A5257         574660.418         140243.409         125.843         118.528         13         85         200.0000         200.0000         40000.0000
699-55-89         A5262         562885.450         140199.170         139.050         122.590         14         26         200.0000         200.0000         40000.0000
699-55-57         A5259         572445.432         140119.853         131.830         122.686         14         74         200.0000         200.0000         40000.0000
699-55-55         A5258         573227.561         140150.538         127.651         120.717         14         78         200.0000         200.0000         40000.0000
699-54-45A         A5251         576313.606         140001.149         120.792         117.744         14         93         200.0000         200.0000         40000.0000
699-54-18B         A8856         584477.375         140000.484         109.844         103.748         14         134         200.0000         200.0000         40000.0000
699-54-49         A8863         574988.009         139825.684         125.304         119.208         15         86         200.0000         200.0000         40000.0000
699-53-55A         A5244         573114.713         139631.605         124.572         92.568         16         77         200.0000         200.0000         40000.0000
699-53-55B         A5245         573109.476         139624.685         104.333         98.237         16         77         200.0000         200.0000         40000.0000
699-52-55         C5861         573102.440         139443.200         123.052         120.004         17         77         200.0000         200.0000         40000.0000
699-52-19         A5233         584209.375         139318.375         110.400         98.208         18         133         200.0000         200.0000         40000.0000
699-51-63         A5231         570664.400         139148.408         127.448         119.524         19         65         200.0000         200.0000         40000.0000
699-51-75         A5232         566976.942         138906.008         136.947         123.231         20         46         200.0000         200.0000         40000.0000
699-50-56         C5197         572748.210         138841.550         122.095         119.047         20         75         200.0000         200.0000         40000.0000
699-50-30         A5223         580810.500         138847.438         122.096         118.682         20         116         200.0000         200.0000         40000.0000
699-50-28B         A5222         581501.813         138825.547         119.399         116.351         20         119         200.0000         200.0000         40000.0000
699-50-85         A5229         564129.068         138669.046         138.013         122.773         21         32         200.0000         200.0000         40000.0000
699-50-74         C4697         567359.520         138646.730         133.335         122.664         21         48         200.0000         200.0000         40000.0000
699-50-59         C4882         571946.900         138741.720         122.320         120.793         21         71         200.0000         200.0000         40000.0000
699-50-42         A5224         577109.859         138786.413         125.547         122.194         21         97         200.0000         200.0000         40000.0000
