Year,Elevation
2012,132.3056
2012,132.2966
2012,132.2882
2012,132.2792
2012,132.2705
2012,132.2615
2012,132.2528
2012,132.2439
2012,132.2349
2012,132.2262
2012,132.2172
2012,132.2085
2013,132.1995
2013,132.1904
2013,132.1821
2013,132.1730
2013,132.1641
2013,132.1550
2013,132.1461
2013,132.1370
2013,132.1279
2013,132.1190
2013,132.1099
2013,132.1010
2014,132.0919
2014,132.0866
2014,132.0819
2014,132.0766
2014,132.0715
2014,132.0662
2014,132.0612
2014,132.0559
2014,132.0506
2014,132.0455
2014,132.0403
2014,132.0352
2015,132.0299
2015,132.0225
2015,132.0158
2015,132.0083
2015,132.0011
2015,131.9937
2015,131.9865
2015,131.9790
2015,131.9716
2015,131.9644
2015,131.9570
2015,131.9498
2016,131.9423
2016,131.9348
2016,131.9278
2016,131.9203
2016,131.9130
2016,131.9055
2016,131.8983
2016,131.8907
2016,131.8832
2016,131.8760
2016,131.8685
2016,131.8612
2017,131.8537
2017,131.8471
2017,131.8412
2017,131.8346
2017,131.8283
2017,131.8217
2017,131.8153
2017,131.8088
2017,131.8022
2017,131.7958
2017,131.7892
2017,131.7829
2018,131.7763
2018,131.7683
2018,131.7610
2018,131.7530
2018,131.7452
2018,131.7372
2018,131.7294
2018,131.7213
2018,131.7133
2018,131.7055
2018,131.6975
2018,131.6897
2019,131.5168
2019,131.5091
2019,131.5021
2019,131.4944
2019,131.4870
2019,131.4793
2019,131.4719
2019,131.4642
2019,131.4565
2019,131.4491
2019,131.4414
2019,131.4339
2020,131.4263
2020,131.4185
2020,131.4112
2020,131.4034
2020,131.3958
2020,131.3880
2020,131.3805
2020,131.3727
2020,131.3649
2020,131.3574
2020,131.3496
2020,131.3420
2021,131.3342
2021,131.3264
2021,131.3193
2021,131.3114
2021,131.3038
2021,131.2960
2021,131.2884
2021,131.2805
2021,131.2727
2021,131.2651
2021,131.2572
2021,131.2496
2022,131.2418
2022,131.2340
2022,131.2269
2022,131.2191
2022,131.2116
2022,131.2038
2022,131.1963
2022,131.1885
2022,131.1807
2022,131.1731
2022,131.1653
2022,131.1578
2023,131.1500
2023,131.1427
2023,131.1362
2023,131.1289
2023,131.1219
2023,131.1146
2023,131.1076
2023,131.1003
2023,131.0930
2023,131.0860
2023,131.0787
2023,131.0717
2024,131.0644
2024,131.0581
2024,131.0521
2024,131.0457
2024,131.0396
2024,131.0332
2024,131.0270
2024,131.0207
2024,131.0143
2024,131.0081
2024,131.0018
2024,130.9956
2025,130.9892
2025,130.9838
2025,130.9789
2025,130.9734
2025,130.9682
2025,130.9627
2025,130.9575
2025,130.9520
2025,130.9466
2025,130.9413
2025,130.9359
2025,130.9306
2026,130.9252
2026,130.9210
2026,130.9173
2026,130.9131
2026,130.9090
2026,130.9049
2026,130.9008
2026,130.8966
2026,130.8925
2026,130.8884
2026,130.8842
2026,130.8802
2027,130.8760
2027,130.8728
2027,130.8699
2027,130.8667
2027,130.8636
2027,130.8604
2027,130.8572
2027,130.8540
2027,130.8508
2027,130.8477
2027,130.8445
2027,130.8413
2028,130.8381
2028,130.8294
2028,130.8208
2028,130.8120
2029,130.8032
2029,130.7944
2029,130.7856
2029,130.7766
2030,130.7676
2030,130.7581
2030,130.7485
2030,130.7388
2031,130.7290
2031,130.7187
2031,130.7083
2031,130.6977
2032,130.6872
2032,130.6760
2032,130.6647
2032,130.6534
2033,130.6421
2033,130.6302
2033,130.6182
2033,130.6061
2034,130.5940
2034,130.5816
2034,130.5690
2034,130.5563
2035,130.5436
2035,130.5307
2035,130.5176
2035,130.5045
2036,130.4913
2036,130.4746
2036,130.4579
2036,130.4409
2037,130.4240
2037,130.4036
2037,130.3830
2037,130.3621
