Year,Elevation
2012,121.8375
2012,121.8341
2012,121.8310
2012,121.8276
2012,121.8244
2012,121.8210
2012,121.8177
2012,121.8143
2012,121.8110
2012,121.8077
2012,121.8043
2012,121.8011
2013,121.7977
2013,121.7933
2013,121.7894
2013,121.7850
2013,121.7808
2013,121.7764
2013,121.7721
2013,121.7678
2013,121.7634
2013,121.7592
2013,121.7548
2013,121.7505
2014,121.7462
2014,121.7449
2014,121.7438
2014,121.7425
2014,121.7413
2014,121.7400
2014,121.7388
2014,121.7375
2014,121.7363
2014,121.7351
2014,121.7338
2014,121.7326
2015,121.7313
2015,121.7281
2015,121.7252
2015,121.7219
2015,121.7188
2015,121.7156
2015,121.7125
2015,121.7092
2015,121.7060
2015,121.7029
2015,121.6997
2015,121.6965
2016,121.6933
2016,121.6907
2016,121.6883
2016,121.6857
2016,121.6832
2016,121.6806
2016,121.6781
2016,121.6756
2016,121.6730
2016,121.6705
2016,121.6679
2016,121.6654
2017,121.6628
2017,121.6619
2017,121.6610
2017,121.6601
2017,121.6591
2017,121.6582
2017,121.6573
2017,121.6563
2017,121.6554
2017,121.6545
2017,121.6535
2017,121.6526
2018,121.6516
2018,121.6472
2018,121.6433
2018,121.6389
2018,121.6346
2018,121.6302
2018,121.6260
2018,121.6216
2018,121.6172
2018,121.6130
2018,121.6086
2018,121.6043
2019,121.5840
2019,121.5798
2019,121.5759
2019,121.5717
2019,121.5676
2019,121.5634
2019,121.5593
2019,121.5550
2019,121.5508
2019,121.5467
2019,121.5425
2019,121.5384
2020,121.5341
2020,121.5303
2020,121.5267
2020,121.5229
2020,121.5192
2020,121.5153
2020,121.5116
2020,121.5078
2020,121.5040
2020,121.5002
2020,121.4964
2020,121.4927
2021,121.4889
2021,121.4856
2021,121.4827
2021,121.4795
2021,121.4764
2021,121.4731
2021,121.4700
2021,121.4668
2021,121.4635
2021,121.4604
2021,121.4572
2021,121.4541
2022,121.4508
2022,121.4479
2022,121.4453
2022,121.4424
2022,121.4396
2022,121.4367
2022,121.4339
2022,121.4311
2022,121.4282
2022,121.4254
2022,121.4225
2022,121.4197
2023,121.4168
2023,121.4139
2023,121.4114
2023,121.4085
2023,121.4058
2023,121.4030
2023,121.4002
2023,121.3974
2023,121.3946
2023,121.3918
2023,121.3890
2023,121.3863
2024,121.3834
2024,121.3806
2024,121.3779
2024,121.3750
2024,121.3722
2024,121.3693
2024,121.3666
2024,121.3637
2024,121.3608
2024,121.3580
2024,121.3551
2024,121.3524
2025,121.3495
2025,121.3468
2025,121.3444
2025,121.3418
2025,121.3392
2025,121.3365
2025,121.3339
2025,121.3313
2025,121.3286
2025,121.3260
2025,121.3234
2025,121.3208
2026,121.3181
2026,121.3151
2026,121.3124
2026,121.3094
2026,121.3064
2026,121.3034
2026,121.3005
2026,121.2974
2026,121.2944
2026,121.2915
2026,121.2884
2026,121.2855
2027,121.2825
2027,121.2785
2027,121.2750
2027,121.2710
2027,121.2672
2027,121.2633
2027,121.2595
2027,121.2555
2027,121.2516
2027,121.2478
2027,121.2438
