,WELLID,cy_year,Mass_kg
0,299-E11-1,2015.0,0.0
1,299-E11-1,2016.0,0.0
2,299-E11-1,2017.0,0.0
3,299-E11-1,2018.0,0.0
4,299-E11-1,2019.0,0.0
5,299-E11-1,2020.0,0.0
6,299-E11-1,2021.0,0.0
7,299-E11-1,2022.0,0.0
8,299-E11-1,2023.0,0.0
9,299-E11-1,2024.0,0.0
10,299-E11-1,2025.0,0.0
11,299-E11-1,2026.0,0.0
12,299-E11-1,2027.0,0.0
13,299-E11-1,2028.0,0.0
14,299-E11-1,2029.0,0.0
15,299-E11-1,2030.0,0.0
16,299-E11-1,2031.0,0.0
17,299-E11-1,2032.0,0.0
18,299-E11-1,2033.0,0.0
19,299-E11-1,2034.0,0.0
20,299-E11-1,2035.0,0.0
21,299-E11-1,2036.0,0.0
22,299-E11-1,2037.0,0.0
23,299-E11-1,2038.0,0.0
24,299-E11-1,2039.0,0.0
25,299-E11-1,2040.0,0.0
26,299-E11-1,2041.0,0.0
27,299-E11-1,2042.0,0.0
28,299-E11-1,2043.0,0.0
29,299-E11-1,2044.0,0.0
30,299-E11-1,2045.0,0.0
31,299-E11-1,2046.0,0.0
32,299-E11-1,2047.0,0.0
33,299-E11-1,2048.0,0.0
34,299-E11-1,2049.0,0.0
35,299-E11-1,2050.0,0.0
36,299-E11-1,2051.0,0.0
37,299-E11-1,2052.0,0.0
38,299-E11-1,2053.0,0.0
39,299-E11-1,2054.0,0.0
40,299-E11-1,2055.0,0.0
41,299-E11-1,2056.0,0.0
42,299-E11-1,2057.0,0.0
43,299-E11-1,2058.0,0.0
44,299-E11-1,2059.0,0.0
45,299-E11-1,2060.0,0.0
46,299-E11-1,2061.0,0.0
47,299-E11-1,2062.0,0.0
48,299-E20-1,2015.0,0.0
49,299-E20-1,2016.0,0.0
50,299-E20-1,2017.0,0.0
51,299-E20-1,2018.0,0.0
52,299-E20-1,2019.0,0.0
53,299-E20-1,2020.0,0.0
54,299-E20-1,2021.0,0.0
55,299-E20-1,2022.0,0.0
56,299-E20-1,2023.0,0.0
57,299-E20-1,2024.0,0.0
58,299-E20-1,2025.0,0.0
59,299-E20-1,2026.0,0.0
60,299-E20-1,2027.0,0.0
61,299-E20-1,2028.0,0.0
62,299-E20-1,2029.0,0.0
63,299-E20-1,2030.0,0.0
64,299-E20-1,2031.0,0.0
65,299-E20-1,2032.0,0.0
66,299-E20-1,2033.0,0.0
67,299-E20-1,2034.0,0.0
68,299-E20-1,2035.0,0.0
69,299-E20-1,2036.0,0.0
70,299-E20-1,2037.0,0.0
71,299-E20-1,2038.0,0.0
72,299-E20-1,2039.0,0.0
73,299-E20-1,2040.0,0.0
74,299-E20-1,2041.0,0.0
75,299-E20-1,2042.0,0.0
76,299-E20-1,2043.0,0.0
77,299-E20-1,2044.0,0.0
78,299-E20-1,2045.0,0.0
79,299-E20-1,2046.0,0.0
80,299-E20-1,2047.0,0.0
81,299-E20-1,2048.0,0.0
82,299-E20-1,2049.0,0.0
83,299-E20-1,2050.0,0.0
84,299-E20-1,2051.0,0.0
85,299-E20-1,2052.0,0.0
86,299-E20-1,2053.0,0.0
87,299-E20-1,2054.0,0.0
88,299-E20-1,2055.0,0.0
89,299-E20-1,2056.0,0.0
90,299-E20-1,2057.0,0.0
91,299-E20-1,2058.0,0.0
92,299-E20-1,2059.0,0.0
93,299-E20-1,2060.0,0.0
94,299-E20-1,2061.0,0.0
95,299-E20-1,2062.0,0.0
96,299-E20-2,2015.0,0.0
97,299-E20-2,2016.0,0.0
98,299-E20-2,2017.0,0.0
99,299-E20-2,2018.0,0.0
100,299-E20-2,2019.0,0.0
101,299-E20-2,2020.0,0.0
102,299-E20-2,2021.0,0.0
103,299-E20-2,2022.0,0.0
104,299-E20-2,2023.0,0.0
105,299-E20-2,2024.0,0.0
106,299-E20-2,2025.0,0.0
107,299-E20-2,2026.0,0.0
108,299-E20-2,2027.0,0.0
109,299-E20-2,2028.0,0.0
110,299-E20-2,2029.0,0.0
111,299-E20-2,2030.0,0.0
112,299-E20-2,2031.0,0.0
113,299-E20-2,2032.0,0.0
114,299-E20-2,2033.0,0.0
115,299-E20-2,2034.0,0.0
116,299-E20-2,2035.0,0.0
117,299-E20-2,2036.0,0.0
118,299-E20-2,2037.0,0.0
119,299-E20-2,2038.0,0.0
120,299-E20-2,2039.0,0.0
121,299-E20-2,2040.0,0.0
122,299-E20-2,2041.0,0.0
123,299-E20-2,2042.0,0.0
124,299-E20-2,2043.0,0.0
125,299-E20-2,2044.0,0.0
126,299-E20-2,2045.0,0.0
127,299-E20-2,2046.0,0.0
128,299-E20-2,2047.0,0.0
129,299-E20-2,2048.0,0.0
130,299-E20-2,2049.0,0.0
131,299-E20-2,2050.0,0.0
132,299-E20-2,2051.0,0.0
133,299-E20-2,2052.0,0.0
134,299-E20-2,2053.0,0.0
135,299-E20-2,2054.0,0.0
136,299-E20-2,2055.0,0.0
137,299-E20-2,2056.0,0.0
138,299-E20-2,2057.0,0.0
139,299-E20-2,2058.0,0.0
140,299-E20-2,2059.0,0.0
141,299-E20-2,2060.0,0.0
142,299-E20-2,2061.0,0.0
143,299-E20-2,2062.0,0.0
144,299-W10-35,2012.0,0.0
145,299-W10-35,2013.0,0.0
146,299-W10-35,2014.0,0.0
147,299-W10-35,2015.0,0.0
148,299-W10-35,2016.0,0.0
