Year,Elevation
2012,137.2805
2012,137.2627
2012,137.2461
2012,137.2283
2012,137.2111
2012,137.1933
2012,137.1761
2012,137.1584
2012,137.1406
2012,137.1234
2012,137.1056
2012,137.0884
2013,137.0706
2013,137.0622
2013,137.0546
2013,137.0461
2013,137.0379
2013,137.0294
2013,137.0213
2013,137.0128
2013,137.0044
2013,136.9962
2013,136.9877
2013,136.9796
2014,136.9711
2014,136.9630
2014,136.9557
2014,136.9476
2014,136.9397
2014,136.9316
2014,136.9238
2014,136.9157
2014,136.9076
2014,136.8997
2014,136.8916
2014,136.8838
2015,136.8757
2015,136.8687
2015,136.8624
2015,136.8555
2015,136.8487
2015,136.8418
2015,136.8350
2015,136.8280
2015,136.8211
2015,136.8143
2015,136.8074
2015,136.8006
2016,136.7937
2016,136.7813
2016,136.7697
2016,136.7573
2016,136.7453
2016,136.7329
2016,136.7209
2016,136.7085
2016,136.6961
2016,136.6841
2016,136.6717
2016,136.6597
2017,136.6473
2017,136.6427
2017,136.6385
2017,136.6340
2017,136.6295
2017,136.6249
2017,136.6205
2017,136.6159
2017,136.6113
2017,136.6069
2017,136.6023
2017,136.5978
2018,136.5932
2018,136.5923
2018,136.5915
2018,136.5906
2018,136.5897
2018,136.5888
2018,136.5880
2018,136.5871
2018,136.5862
2018,136.5853
2018,136.5844
2018,136.5835
2019,136.4779
2019,136.4695
2019,136.4620
2019,136.4536
2019,136.4455
2019,136.4372
2019,136.4291
2019,136.4207
2019,136.4124
2019,136.4043
2019,136.3959
2019,136.3878
2020,136.3795
2020,136.3694
2020,136.3600
2020,136.3499
2020,136.3402
2020,136.3301
2020,136.3204
2020,136.3103
2020,136.3002
2020,136.2905
2020,136.2804
2020,136.2707
2021,136.2607
2021,136.2528
2021,136.2456
2021,136.2377
2021,136.2301
2021,136.2222
2021,136.2145
2021,136.2066
2021,136.1987
2021,136.1910
2021,136.1831
2021,136.1755
2022,136.1676
2022,136.1638
2022,136.1603
2022,136.1564
2022,136.1527
2022,136.1488
2022,136.1451
2022,136.1413
2022,136.1374
2022,136.1337
2022,136.1298
2022,136.1261
2023,136.1223
2023,136.1242
2023,136.1260
2023,136.1279
2023,136.1298
2023,136.1317
2023,136.1336
2023,136.1355
2023,136.1375
2023,136.1393
2023,136.1413
2023,136.1432
2024,136.1451
2024,136.1479
2024,136.1506
2024,136.1534
2024,136.1561
2024,136.1590
2024,136.1617
2024,136.1646
2024,136.1674
2024,136.1701
2024,136.1729
2024,136.1757
2025,136.1786
2025,136.1842
2025,136.1893
2025,136.1950
2025,136.2004
2025,136.2061
2025,136.2115
2025,136.2171
2025,136.2228
2025,136.2282
2025,136.2339
2025,136.2393
2026,136.2449
2026,136.2480
2026,136.2507
2026,136.2537
2026,136.2566
2026,136.2597
2026,136.2626
2026,136.2656
2026,136.2686
2026,136.2716
2026,136.2746
2026,136.2775
2027,136.2805
2027,136.2825
2027,136.2842
2027,136.2861
2027,136.2880
2027,136.2899
2027,136.2917
2027,136.2937
2027,136.2956
2027,136.2974
2027,136.2994
2027,136.3012
2028,136.3031
2028,136.2895
2028,136.2758
2028,136.2619
2029,136.2480
2029,136.2265
2029,136.2047
2029,136.1826
2030,136.1606
2030,136.1356
2030,136.1104
2030,136.0850
2031,136.0595
2031,136.0335
2031,136.0071
2031,135.9805
2032,135.9539
2032,135.9273
2032,135.9007
2032,135.8738
2033,135.8469
2033,135.8206
2033,135.7941
2033,135.7672
2034,135.7404
2034,135.7148
2034,135.6888
2034,135.6626
2035,135.6364
2035,135.6115
2035,135.5862
2035,135.5607
2036,135.5351
2036,135.3974
2036,135.2597
2036,135.1205
2037,134.9813
2037,134.8495
2037,134.7163
2037,134.5816
