Year,Elevation
2012,137.2483
2012,137.2399
2012,137.2320
2012,137.2236
2012,137.2155
2012,137.2071
2012,137.1990
2012,137.1906
2012,137.1822
2012,137.1740
2012,137.1656
2012,137.1575
2013,137.1491
2013,137.1035
2013,137.0624
2013,137.0168
2013,136.9727
2013,136.9271
2013,136.8830
2013,136.8374
2013,136.7918
2013,136.7477
2013,136.7022
2013,136.6581
2014,136.6125
2014,136.6023
2014,136.5931
2014,136.5829
2014,136.5730
2014,136.5629
2014,136.5530
2014,136.5428
2014,136.5326
2014,136.5228
2014,136.5126
2014,136.5027
2015,136.4926
2015,136.4865
2015,136.4810
2015,136.4750
2015,136.4691
2015,136.4631
2015,136.4573
2015,136.4512
2015,136.4452
2015,136.4393
2015,136.4333
2015,136.4274
2016,136.4214
2016,136.4127
2016,136.4047
2016,136.3960
2016,136.3877
2016,136.3790
2016,136.3707
2016,136.3620
2016,136.3534
2016,136.3450
2016,136.3364
2016,136.3280
2017,136.3194
2017,136.3140
2017,136.3091
2017,136.3038
2017,136.2985
2017,136.2931
2017,136.2879
2017,136.2825
2017,136.2771
2017,136.2719
2017,136.2665
2017,136.2613
2018,136.2559
2018,136.2520
2018,136.2484
2018,136.2445
2018,136.2407
2018,136.2368
2018,136.2330
2018,136.2291
2018,136.2252
2018,136.2214
2018,136.2175
2018,136.2137
2019,136.2111
2019,136.2049
2019,136.1993
2019,136.1932
2019,136.1872
2019,136.1810
2019,136.1750
2019,136.1688
2019,136.1626
2019,136.1566
2019,136.1505
2019,136.1445
2020,136.1383
2020,136.1265
2020,136.1154
2020,136.1035
2020,136.0920
2020,136.0802
2020,136.0687
2020,136.0568
2020,136.0449
2020,136.0334
2020,136.0216
2020,136.0101
2021,135.9982
2021,135.9888
2021,135.9802
2021,135.9708
2021,135.9617
2021,135.9522
2021,135.9431
2021,135.9336
2021,135.9242
2021,135.9150
2021,135.9056
2021,135.8964
2022,135.8870
2022,135.8694
2022,135.8535
2022,135.8358
2022,135.8188
2022,135.8012
2022,135.7841
2022,135.7665
2022,135.7489
2022,135.7318
2022,135.7142
2022,135.6971
2023,135.6795
2023,135.6684
2023,135.6583
2023,135.6472
2023,135.6365
2023,135.6254
2023,135.6146
2023,135.6035
2023,135.5924
2023,135.5816
2023,135.5705
2023,135.5598
2024,135.5486
2024,135.5426
2024,135.5370
2024,135.5311
2024,135.5253
2024,135.5193
2024,135.5135
2024,135.5076
2024,135.5016
2024,135.4958
2024,135.4899
2024,135.4841
2025,135.4782
2025,135.4762
2025,135.4744
2025,135.4725
2025,135.4706
2025,135.4686
2025,135.4667
2025,135.4647
2025,135.4628
2025,135.4609
2025,135.4589
2025,135.4570
2026,135.4550
2026,135.4564
2026,135.4576
2026,135.4590
2026,135.4603
2026,135.4617
2026,135.4630
2026,135.4644
2026,135.4658
2026,135.4671
2026,135.4685
2026,135.4698
2027,135.4712
2027,135.4758
2027,135.4799
2027,135.4845
2027,135.4889
2027,135.4935
2027,135.4980
2027,135.5026
2027,135.5072
2027,135.5116
2027,135.5162
2027,135.5206
2028,135.5252
2028,135.5310
2028,135.5365
2028,135.5423
2028,135.5479
2028,135.5537
2028,135.5593
2028,135.5651
2028,135.5709
2028,135.5766
2028,135.5824
2028,135.5880
2029,135.5938
2029,135.5955
2029,135.5970
2029,135.5987
2029,135.6004
2029,135.6021
2029,135.6037
2029,135.6054
2029,135.6071
2029,135.6087
2029,135.6105
2029,135.6121
2030,135.6138
2030,135.6125
